     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
0   THS  2023        32605458265              629158849   
1   THS  2022        31556520329             1051515303   
2   THS  2021        32874454487             1138686368   
3   THS  2020        34211918050              824971550   
4   THS  2019        26541993531              231606009   
5   THS  2018        36194919860             1350686717   
6   THS  2017        24885582935              343192830   
7   THS  2016        20765384545              411859809   
8   THS  2015        19704317153              870493191   
9   THS  2014        14045491907               75528300   
10  THS  2013        19910274337             3077221809   

    Giá trị ròng tài sản đầu tư  Tài sản dài hạn khác  \
0                   10382202775            2301651331   
1                   10990852855             208724409   
2                   11599502935              92409376   
3                   12208153015             229215243   
4                   12816862975             196432043   
5                   13425632815             299079176   
6                   22599724923             703640762   
7                   23786036247            1074824915   
8                   24922196019             168008623   
9                   26105528043             184434546   
10                  27288860067             239683749   

    Tài sản cố định hữu hình  TÀI SẢN NGẮN HẠN (Tỷ đồng)  \
0                11351878115                 51692232081   
1                12654379319                 47109432157   
2                12505833273                 49803192944   
3                13963142623                 50496730101   
4                13482269285                 41365493302   
5                11383819681                 60155853707   
6                10989690570                 44915720117   
7                11413455502                 35355879273   
8                 9120968239                 37984228653   
9                 1199796791                 29591268428   
10                2298606241                 34413413369   

    Tiền và tương đương tiền (Tỷ đồng)  Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                           4361900601                            14095714366   
1                           3293567234                            11207829291   
2                           4198290014                            11591762075   
3                           4608544374                            10851296127   
4                           5059280242                             9532613520   
5                           7872017665                            14738229465   
6                           6219325885                            13467618467   
7                           4498360451                             9680274468   
8                           4262820841                            13146597468   
9                           5600792477                             9869455744   
10                          1921609614                             9504307609   

    Trả trước cho người bán ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                                    464496769                   33411411838   
1                                    539438780                   32309041619   
2                                    404443481                   33389751223   
3                                    712340910                   34774441390   
4                                    120577061                   27376629148   
5                                   4481201449                   36442445054   
6                                   2317928468                   24917557869   
7                                    814953521                   20781517219   
8                                   2345396983                   19704317153   
9                                    520340000                   14045491907   
10                                  2737755009                   19910274337   

    Tài sản lưu động khác (Tỷ đồng)  TÀI SẢN DÀI HẠN (Tỷ đồng)  \
0                                 0                24035732221   
1                                 0                23853956583   
2                                 0                24197745584   
3                                 0                26400510881   
4                                 0                26495564303   
5                                 0                25207022268   
6                                 0                39026386965   
7                                 0                41007647374   
8                                 0                37466737318   
9                                 0                30669580727   
10                       3005203350                33006971404   

    TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  Lãi chưa phân phối (Tỷ đồng)  \
0                     75727964302                    2360298838   
1                     70963388740                    3419656107   
2                     74000938528                    3777096486   
3                     76897240982                    3185949719   
4                     67861057605                    3125541988   
5                     85362875975                    7017541516   
6                     83942107082                    2719438451   
7                     76363526647                    5016693281   
8                     75450965971                    3160409210   
9                     60260849155                    2558756491   
10                    67420384773                    2486360382   

    Quỹ đầu tư và phát triển (Tỷ đồng)  Cổ phiếu phổ thông (Tỷ đồng)  \
0                          10182834836                   30000000000   
1                           8923178729                   30000000000   
2                           8023178729                   30000000000   
3                           7600948010                   30000000000   
4                           7288394010                   30000000000   
5                           6088394010                   30000000000   
6                           5788394010                   30000000000   
7                           4588394010                   30000000000   
8                           4272394010                   30000000000   
9                           3867394010                   30000000000   
10                          2326135950                   30000000000   

    Vốn góp của chủ sở hữu (Tỷ đồng)  Vốn và các quỹ (Tỷ đồng)  \
0                        30000000000               40381113674   
1                        30000000000               40180814836   
2                        30000000000               39638255215   
3                        30000000000               38624877729   
4                        30000000000               38251915998   
5                        30000000000               40943915526   
6                        30000000000               36345812461   
7                        30000000000               37443067291   
8                        30000000000               35270783220   
9                        30000000000               34264130501   
10                       30000000000               36013754392   

    VỐN CHỦ SỞ HỮU (Tỷ đồng)  Nợ dài hạn (Tỷ đồng)  \
0                40381113674                     0   
1                40180814836                     0   
2                39638255215                     0   
3                38624877729                     0   
4                38251915998                     0   
5                40943915526                     0   
6                36345812461            9075000000   
7                37443067291            9675000000   
8                35270783220           11975000001   
9                34264130501           13675000005   
10               36013754392           15736709302   

    Người mua trả tiền trước ngắn hạn (Tỷ đồng)  \
0                                      20000000   
1                                     308303702   
2                                     772640669   
3                                     581145648   
4                                     436025169   
5                                     625071049   
6                                     170868351   
7                                     235645449   
8                                     536418349   
9                                      88199300   
10                                    344847895   

    Vay và nợ thuê tài chính ngắn hạn (Tỷ đồng)  Nợ ngắn hạn (Tỷ đồng)  \
0                                   27013942215            35346850628   
1                                   16423461558            30782573904   
2                                   15562530713            34362683313   
3                                    8073620150            38272363253   
4                                    5535302100            29609141607   
5                                   16139105151            44418960449   
