     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
0   THT  2023       395195876605            93420217723           83710082840   
1   THT  2022       348510808703            47216815595           54415046240   
2   THT  2021       359929724227            59302581511           53607395272   
3   THT  2020       340099186893            29396021174           34655754259   
4   THT  2019       316652351980            52149368004           22982028080   
5   THT  2018       190953413631            35206433971           33859284395   
6   THT  2017       374067663247            24771080523           49980122310   
7   THT  2016       211882740340            31051031935           72607938733   
8   THT  2015       180695939675            25600259319          117517562310   
9   THT  2014       186276738505            12509630185          119201133909   
10  THT  2013       201477243823             9078534908          113426650701   

    Các quỹ khác  Các quỹ khác  Vốn Ngân sách nhà nước và quỹ khác  \
0      569137076     569137076                                   0   
1      569137076     569137076                                   0   
2      569137076     569137076                                   0   
3      569137076     569137076                                   0   
4      569137076     569137076                                   0   
5      569137076     569137076                                   0   
6      569137076     569137076                         11214399601   
7      569137076     569137076                         14735605377   
8    79373060548   79373060548                         17800941763   
9    79373060548   79373060548                         13156679600   
10   78693126086   78693126086                         21929046818   

    Vốn Ngân sách nhà nước và quỹ khác  Vốn Ngân sách nhà nước và quỹ khác  \
0                                    0                                   0   
1                                    0                                   0   
2                                    0                                   0   
3                                    0                                   0   
4                                    0                                   0   
5                                    0                                   0   
6                                    0                         11214399601   
7                                    0                         14735605377   
8                                    0                         17800941763   
9                          13156679600                         13156679600   
10                         21929046818                         21929046818   

    Vốn Ngân sách nhà nước và quỹ khác  Tài sản cố định hữu hình  \
0                                    0              625717745590   
1                                    0              308806283167   
2                                    0              452741058391   
3                                    0              340559164360   
4                                    0              310973991213   
5                                    0               92879887505   
6                                    0              116409896911   
7                                    0              168778772429   
8                                    0              198704848167   
9                          13156679600              165701640376   
10                         21929046818              259657967714   

    Tài sản cố định vô hình  TÀI SẢN NGẮN HẠN (Tỷ đồng)  \
0              111981755499                694950547867   
1              283349599175                773158210886   
2              474247350871                602313063707   
3              453451053995                818438425425   
4              348269607300                600297775598   
5                 239297476                444235818846   
6                 118781205                412938593752   
7                 212461282                296671977122   
8                         0                306906204452   
9                 117380283                430371192711   
10                211829921                395786959288   

    Tiền và tương đương tiền (Tỷ đồng)  Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                           5233819553                           201100633986   
1                           5405916906                           372024669682   
2                           6429317186                           176651440783   
3                          10955609902                           437987607456   
4                           5532504960                           225963550654   
5                           3002330066                           215073641178   
6                           3235894302                            10863955680   
7                            439696811                            53298508036   
8                          68094435779                            32515569679   
9                           3369327264                           228215496757   
10                          1541562876                           183689617681   

    Trả trước cho người bán ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                                  12860766156                  395195876605   
1                                   5994994531                  348510808703   
2                                  14700348889                  371382241531   
3                                  49176061442                  369090670509   
4                                   6238619630                  317715644635   
5                                  23308048880                  192145655169   
6                                   2896229637                  375143402761   
7                                    688000000                  213999161852   
8                                    740162300                  181326802570   
9                                    210597000                  186782075592   
10                                  1200582000                  201916315738   

    TÀI SẢN DÀI HẠN (Tỷ đồng)  TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  \
0                916920003141                  1611870551008   
1                797732229671                  1570890440557   
2               1099241175677                  1701554239384   
3                963207114493                  1781645539918   
4                812366882038                  1412664657636   
5                418126476304                   862362295150   
6                304921377754                   717859971506   
7                361481451797                   658153428919   
8                433441226258                   740347430710   
9                295792970770                   726164163481   
10               376266234779                   772053194067   

    Lãi chưa phân phối (Tỷ đồng)  Quỹ đầu tư và phát triển (Tỷ đồng)  \
0                   118478261287                         38569843947   
1                    68567308884                         38569843947   
2                    71159598117                         38569843947   
3                    81436110621                         29772654801   
4                   103211243812                         10581477918   
5                    80639693744                          2786142275   
6                    28754754680                          2786142275   
7                    24409322116                                   0   
8                              0                         33820970764   
9                              0                         22374307273   
10                             0                          7262313117   

    Cổ phiếu phổ thông (Tỷ đồng)  Vốn góp của chủ sở hữu (Tỷ đồng)  \
0                   245690520000                      245690520000   
1                   245690520000                      245690520000   
2                   245690520000                      245690520000   
3                   245690520000                      245690520000   
4                   245690520000                      245690520000   
5                   245690520000                      245690520000   
6                   245690520000                      245690520000   
7                   245690520000                      245690520000   
8                   136497380000                      136497380000   
9                   136497380000                      136497380000   
10                  136497380000                      136497380000   

    Vốn và các quỹ (Tỷ đồng)  VỐN CHỦ SỞ HỮU (Tỷ đồng)  \
0               403260944128              403260944128   
1               353349991725              353349991725   
2               355942280958              355942280958   
3               357421604316              357421604316   
4               360005560624              360005560624   
5               329638674913              329638674913   
6               277753735849              288968135450   
7               270622161010              285357766387   
8               249644593130              267445534893   
9               244419053218              257575732818   
10              228627124600              250556171418   

    Vay và nợ thuê tài chính dài hạn (Tỷ đồng)  Nợ dài hạn (Tỷ đồng)  \
0                                 253712226395          253712226395   
1                                 269945362222          269945362222   
2                                 597228039699          597228039699   
3                                 734168699973          735095882254   
4                                 277737454133          282093708854   
5                                 104677200000          112462527161   
6                                   3589600000            3589600000   
7                                            0              34469066   
8                                            0             120641733   
9                                  41775000000           41981814400   
10                                 80694135433           81199982433   

    Người mua trả tiền trước ngắn hạn (Tỷ đồng)  \
0                                     178113242   
1                                      63232472   
2                                      39655326   
3                                      47667331   
4                                             0   
5                                    6377687903   
6                                             0   
7                                             0   
8                                   39457067700   
9                                             0   
10                                    300000000   

    Vay và nợ thuê tài chính ngắn hạn (Tỷ đồng)  Nợ ngắn hạn (Tỷ đồng)  \
0                                  208089598956           954897380485   
1                                  183075151864           947595086610   
2                                   66727274939           748383918727   
3                                  233986198785           689128053348   
4                                  176034261590           770565388158   
5                                   46656250245           420261093076   
6                                  110127429669           425302236056   
7                                   82067586536           372761193466   
8                                             0           472781254084   
9                                   66439992908           426606616263   
10                                 148274227459           440297040216   

    NỢ PHẢI TRẢ (Tỷ đồng)  TỔNG CỘNG TÀI SẢN (Tỷ đồng)  \
0           1208609606880                1611870551008   
1           1217540448832                1570890440557   
2           1345611958426                1701554239384   
3           1424223935602                1781645539918   
4           1052659097012                1412664657636   
5            532723620237                 862362295150   
6            428891836056                 717859971506   
7            372795662532                 658153428919   
8            472901895817                 740347430710   
9            468588430663                 726164163481   
10           521497022649                 772053194067   

    Trả trước dài hạn (Tỷ đồng)  Tài sản cố định (Tỷ đồng)  \
0                   22323738628               737699501089   
1                    7292015579               592155882342   
2                   22808596138               926988409262   
3                   26551637569               794010218355   
4                   22850941533               659243598513   
5                   33728197848                93119184981   
6                   49849035763               116528678116   
7                   72336945024               168991233711   
8                  117307080896               198704848167   
9                   24916190495               176591836861   
10                  31991397701               262839584078   

    Phải thu dài hạn khác (Tỷ đồng)  Phải thu dài hạn (Tỷ đồng)  
0                       94386525696                 94386525696  
1                       99811419854                 99811419854  
2                      106874921833                106874921833  
