     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
0   V21  2023        75085446550            14972378449   
1   V21  2022        62467055236            16389318774   
2   V21  2021        59772948481             4141567994   
3   V21  2020       127908768478             9576785058   
4   V21  2019       118009445083            11091838372   
5   V21  2018       320083631815             4971712541   
6   V21  2017        80984093282                      0   
7   V21  2016        80649237692               23652454   
8   V21  2015        91294473141                      0   
9   V21  2014       135579672777                      0   
10  V21  2013       185365039554             9543830564   

    Giá trị ròng tài sản đầu tư  Tài sản dài hạn khác  \
0                   17617695680              32745000   
1                   18044252720               8250000   
2                   18470809760                     0   
3                   13098800000              24512525   
4                             0             120947689   
5                             0            2040729976   
6                             0             568934601   
7                             0             713423394   
8                             0             294771361   
9                             0            1016685425   
10                            0            2049306769   

    Tài sản cố định hữu hình  TÀI SẢN NGẮN HẠN (Tỷ đồng)  \
0                23208816418                232978999994   
1                23897727758                225557449066   
2                24660687379                242841896581   
3                25511662468                388143035371   
4                26424380288                376978653343   
5                27539512953                623494349106   
6                28288479294                346612964607   
7                30739596336                308370339980   
8                33327722996                255560150146   
9                37740780484                285545603015   
10               42494225879                335573016456   

    Tiền và tương đương tiền (Tỷ đồng)  Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                           7360520675                           135560654320   
1                           3490121694                           143210953362   
2                          30211112285                           148716267821   
3                           5059049245                           245598432590   
4                           5738770104                           242138599784   
5                           7056365839                           291382638911   
6                           9061205827                           256567665498   
7                          54737587871                           172959861963   
8                           7800279417                           156465397588   
9                           5338692053                           144627238185   
10                         13701161143                           126962985195   

    Trả trước cho người bán ngắn hạn (Tỷ đồng)  \
0                                  16129915012   
1                                   3297090453   
2                                   4624591403   
3                                 151361078188   
4                                 131339657084   
5                                 184130199534   
6                                 121571257989   
7                                  87170518077   
8                                  20261251482   
9                                  18337405110   
10                                 24216469978   

    Phải thu về cho vay ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                              15000000000                   75085446550   
1                              15000000000                   62467055236   
2                              35000000000                   59772948481   
3                                        0                  127908768478   
4                                        0                  118009445083   
5                                        0                  320083631815   
6                                        0                   80984093282   
7                                        0                   80649237692   
8                                        0                   91294473141   
9                                        0                  135579672777   
10                                       0                  185365039554   

    Tài sản lưu động khác (Tỷ đồng)  TÀI SẢN DÀI HẠN (Tỷ đồng)  \
0                                 0                90465750098   
1                                 0                91556723478   
2                                 0                92737990139   
3                                 0                49497512993   
4                                 0                37827865977   
5                                 0                41082362747   
6                                 0                39939533713   
7                                 0                43344705924   
8                                 0                44672326175   
9                                 0                49807297727   
10                       9261941681                51475182648   

    TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  Lãi chưa phân phối (Tỷ đồng)  \
0                    323444750092                    1246914812   
1                    317114172544                    1187906854   
2                    335579886720                     259022066   
3                    437640548364                   -3454902256   
4                    414806519320                   -4993443704   
5                    664576711853                   -2845498841   
6                    386552498320                     811835012   
7                    351715045904                  -28115471494   
8                    300232476321                    -285103054   
9                    335352900742                    2869023910   
10                   387048199104                    2608748674   

    Quỹ đầu tư và phát triển (Tỷ đồng)  Cổ phiếu phổ thông (Tỷ đồng)  \
0                            777775837                  119997890000   
1                            777775837                  119997890000   
2                            777775837                  119997890000   
3                            777775837                  119997890000   
4                            777775837                  119997890000   
5                            777775837                  119997890000   
6                             82967325                  119997890000   
7                             82967325                  119997890000   
8                           7081837325                   40000000000   
9                           6634360723                   17000000000   
10                         12236667938                   17000000000   

    Vốn góp của chủ sở hữu (Tỷ đồng)  Vốn và các quỹ (Tỷ đồng)  \
0                       119997890000              121905554149   
1                       119997890000              121846546191   
2                       119997890000              120917661403   
3                       119997890000              117203737081   
4                       119997890000              115665195633   
5                       119997890000              117813140496   
6                       119997890000              120775665837   
7                       119997890000               91848359331   
8                        40000000000               50096734271   
9                        17000000000               29803384633   
10                       17000000000               37510374412   

    VỐN CHỦ SỞ HỮU (Tỷ đồng)  Vay và nợ thuê tài chính dài hạn (Tỷ đồng)  \
0               121905554149                                           0   
1               121846546191                                           0   
2               120917661403                                  5450899401   
3               117203737081                                 25296681191   
4               115665195633                                           0   
5               117813140496                                 55009644587   
6               120775665837                                           0   
7                91848359331                                           0   
8                50096734271                                           0   
9                29803384633                                  4897282367   
