     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
0   VBC  2023        79783490428             3456366077            3783022244   
1   VBC  2022       125927764378             1560193884            3898802749   
2   VBC  2021       109768729289             2536390080            3666226071   
3   VBC  2020        96459404563             1100139103            3969523630   
4   VBC  2019       111466355849             4476822389            4636547154   
5   VBC  2018       145852668690             4923380880            5741049836   
6   VBC  2017        85214481900             2213004254            7321465543   
7   VBC  2016        97943333084             3698230597            8769755089   
8   VBC  2015        68331092190             1436384790            8535064394   
9   VBC  2014        59014906071                      0            4215925398   
10  VBC  2013        79465605266             3520938542            3472951249   

    Tài sản cố định hữu hình  TÀI SẢN NGẮN HẠN (Tỷ đồng)  \
0                74513019899                309869208799   
1                84329711928                371253831671   
2                81390385179                348984588026   
3                98493062487                320823195428   
4               117540438813                380434885481   
5                92500277833                388049661009   
6                95678540956                316785092510   
7                72408928376                299053066982   
8                40376251303                235253995050   
9                47438569994                206805197782   
10               57570417373                241803415340   

    Tiền và tương đương tiền (Tỷ đồng)  Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                            489384850                           226139967444   
1                           2523473029                           241242400380   
2                            446301484                           236233167173   
3                           2936211418                           220327440344   
4                           3194419292                           261297287951   
5                           5677425348                           231596186091   
6                           8091796485                           221265809871   
7                           7942187398                           189469315903   
8                            346607053                           165139911017   
9                           1244614094                           146545677617   
10                          4685625679                           154131245853   

    Trả trước cho người bán ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                                    395215678                   79783490428   
1                                    233800725                  125927764378   
2                                     20685000                  109768729289   
3                                    483064896                   96459404563   
4                                   5771251300                  111466355849   
5                                   2277855610                  145852668690   
6                                   3184522560                   85214481900   
7                                  12868583500                   97943333084   
8                                    773083924                   68331092190   
9                                   4696322000                   59014906071   
10                                   513114378                   79465605266   

    Tài sản lưu động khác (Tỷ đồng)  TÀI SẢN DÀI HẠN (Tỷ đồng)  \
0                                 0                78296042143   
1                                 0                88228514677   
2                                 0                85056611250   
3                                 0               102462586117   
4                                 0               122243828695   
5                                 0                98308170396   
6                                 0               103124321499   
7                                 0                81178683465   
8                                 0                48911315697   
9                                 0                53311072193   
10                        845665853                61043368622   

    TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  Lãi chưa phân phối (Tỷ đồng)  \
0                    388165250942                   26744439843   
1                    459482346348                   27261706297   
2                    434041199276                   28112069423   
3                    423285781545                   27668889439   
4                    502678714176                   28478343137   
5                    486357831405                   27877520149   
6                    419909414009                   26811349918   
7                    380231750447                   26435571637   
8                    284165310747                   25490659710   
9                    260116269975                   21455539958   
10                   302846783962                   22256051383   

    Quỹ đầu tư và phát triển (Tỷ đồng)  Cổ phiếu phổ thông (Tỷ đồng)  \
0                          54612315540                   74999720000   
1                          46475296752                   74999720000   
2                          37654468404                   74999720000   
3                          29364244491                   74999720000   
4                          20546637741                   74999720000   
5                           7367822092                   74999720000   
6                           1188416174                   74999720000   
7                          40320619537                   29999890000   
8                          38187882827                   29999890000   
9                          34132287869                   29999890000   
10                         21221939276                   29999890000   

    Vốn góp của chủ sở hữu (Tỷ đồng)  Vốn và các quỹ (Tỷ đồng)  \
0                        74999720000              157806349928   
1                        74999720000              150186597594   
2                        74999720000              142216132372   
3                        74999720000              133482728475   
4                        74999720000              125474575423   
5                        74999720000              111694936786   
6                        74999720000              104449360637   
7                        29999890000               98206075719   
8                        29999890000               95128427082   
9                        29999890000               87037712372   
10                       29999890000               82427847704   

    VỐN CHỦ SỞ HỮU (Tỷ đồng)  Vay và nợ thuê tài chính dài hạn (Tỷ đồng)  \
0               157806349928                                  1043637905   
1               150186597594                                  4035539468   
2               142216132372                                  6980120927   
3               133482728475                                 12626933966   
4               125474575423                                 38812985379   
5               111694936786                                 18059461434   
6               104449360637                                 35109377409   
7                98206075719                                 26401173009   
8                95128427082                                           0   
9                87037712372                                  6485476438   
10               82427847704                                 10285476438   

    Nợ dài hạn (Tỷ đồng)  Người mua trả tiền trước ngắn hạn (Tỷ đồng)  \
0             1043637905                                   1969786731   
1             4047442412                                    828819347   
2             6992023871                                   1437626220   
3            12638836910                                   2247282614   
4            39369807379                                    983554826   
5            18959461434                                    259775835   
6            36009377409                                   1047683500   
7            27301173009                                     33930000   
8                      0                                      3740000   
9             6485476438                                     73000000   
10           10285476438                                     85000000   

    Vay và nợ thuê tài chính ngắn hạn (Tỷ đồng)  Nợ ngắn hạn (Tỷ đồng)  \
0                                  104380284573           229315263109   
1                                  165708583734           305248306342   
2                                  118922450478           284833043033   
3                                  139976450552           277164216160   
4                                  200407013376           337834331374   
5                                  214454365087           355703433185   
6                                  139983523551           279450675963   
7                                  129423605658           254724501719   
8                                   97310924032           189036883665   
9                                   84649014345           166593081165   
10                                 121132448338           210133459820   

    NỢ PHẢI TRẢ (Tỷ đồng)  TỔNG CỘNG TÀI SẢN (Tỷ đồng)  \
0            230358901014                 388165250942   
1            309295748754                 459482346348   
2            291825066904                 434041199276   
3            289803053070                 423285781545   
4            377204138753                 502678714176   
5            374662894619                 486357831405   
6            315460053372                 419909414009   
7            282025674728                 380231750447   
8            189036883665                 284165310747   
9            173078557603                 260116269975   
10           220418936258                 302846783962   

    Trả trước dài hạn (Tỷ đồng)  Tài sản cố định (Tỷ đồng)  
0                    3783022244                74513019899  
1                    3898802749                84329711928  
2                    3666226071                81390385179  
3                    3969523630                98493062487  
4                    4636547154               117540438813  
5                    5741049836                92500277833  
6                    7321465543                95678540956  
7                    8769755089                72408928376  
8                    8535064394                40376251303  
9                    4215925398                47438569994  
10                   3472951249                57570417373  
     CP   Năm  Lãi/Lỗ ròng trước thuế  Tăng trưởng doanh thu (%)  \
