     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
0   VTV  2023        16878097483             4983150371   
1   VTV  2022       378961443712            40678600972   
2   VTV  2021       198082185792            29592529365   
3   VTV  2020       240972211291            26049211719   
4   VTV  2019       371911657510            37043091651   
5   VTV  2018       415826510547            46313734513   
6   VTV  2017       319678600891            50143141263   
7   VTV  2016       487064634570            62887008945   
8   VTV  2015       281281762068            37224477368   
9   VTV  2014       241253666644            26556691786   
10  VTV  2013       183142169795            14030611156   

    Giá trị ròng tài sản đầu tư  Tài sản dài hạn khác  Các quỹ khác  \
0                  209673292023                     0             0   
1                  218650961487              44201106             0   
2                  227628630951             503348998             0   
3                  243489237619            1174588954             0   
4                  251432395107              93467242             0   
5                  250676313005             122374540             0   
6                             0            4768585154   12101619462   
7                             0            4463322509   12101619462   
8                             0            2274966557   10026608660   
9                             0           12675269533    8185600936   
10                            0            9818271562    6946491488   

    Các quỹ khác  Tài sản cố định hữu hình  Tài sản cố định thuê tài chính  \
0              0               15437979164                               0   
1              0               18078072067                               0   
2              0               19776369643                       824707706   
3              0               22343592861                      1220567402   
4              0               24757832897                      1616427098   
5              0               25729640526                      2012286794   
6    12101619462               27338548527                               0   
7    12101619462                2474113623                               0   
8    10026608660                2098729543                               0   
9     8185600936               40572136675                               0   
10    6946491488              109716045744                               0   

    Tài sản cố định vô hình  TÀI SẢN NGẮN HẠN (Tỷ đồng)  \
0                 235241657                840491593885   
1                 235241657               1228031773899   
2                 850000000                697015747305   
3                 850000000                672064274772   
4                 904222217                854575271452   
5                 985555553               1151642394525   
6                1066888889               1101334860019   
7                 850000000               1231158225570   
8                         0                995140351864   
9                         0                964048254291   
10                        0                823925181876   

    Tiền và tương đương tiền (Tỷ đồng)  Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                          41390410048                           777239935983   
1                          11825416819                           796566312396   
2                         102039744279                           367301287869   
3                           4595655269                           400447196493   
4                          40964841863                           404655680428   
5                          27116752660                           662385396805   
6                         107096332487                           624416785378   
7                          22426671920                           658779910135   
8                         101509919554                           575124192874   
9                         209541524458                           486696371403   
10                        183365332465                           443387068460   

    Trả trước cho người bán ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                                    754321471                   16878097483   
1                                  12604947559                  378961443712   
2                                     74315255                  198082185792   
3                                    873963125                  240972211291   
4                                    254694673                  371911657510   
5                                  38069138311                  415826510547   
6                                  43726802934                  319678600891   
7                                  19714953023                  487064634570   
8                                   8149644266                  281281762068   
9                                   1649893443                  241253666644   
10                                   343949538                  183142169795   

    Tài sản lưu động khác (Tỷ đồng)  TÀI SẢN DÀI HẠN (Tỷ đồng)  \
0                                 0               225346512844   
1                                 0               237008476317   
2                                 0               249583057298   
3                                 0               269147986836   
4                                 0               278874344561   
5                                 0               279596170418   
6                                 0               562054432914   
7                                 0               415291822617   
8                                 0               291682776127   
9                        1604717585               245136096438   
10                        745238906               137096780949   

    TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  Lãi chưa phân phối (Tỷ đồng)  \
0                   1065838106729                   12129108314   
1                   1465040250216                   26358389594   
2                    946598804603                   14034309968   
3                    941212261608                    2024037235   
4                   1133449616013                   15193262792   
5                   1431238564943                   39329471831   
6                   1663389292933                   83296084344   
7                   1646450048187                   36977310501   
8                   1286823127991                   29800243043   
9                   1209184350729                   31750568812   
10                   961021962825                   24782188980   

    Quỹ đầu tư và phát triển (Tỷ đồng)  Cổ phiếu phổ thông (Tỷ đồng)  \
0                          87686191024                  311998250000   
1                          87686191024                  311998250000   
2                          87686191024                  311998250000   
3                          87686191024                  311998250000   
4                          87686191024                  311998250000   
5                          87686191024                  311998250000   
6                          75584571562                  311998250000   
7                          70437746061                  311998250000   
8                          63337580789                  311998250000   
9                          60612810013                  156000000000   
10                         57858153319                  156000000000   

    Vốn góp của chủ sở hữu (Tỷ đồng)  Vốn và các quỹ (Tỷ đồng)  \
0                       311998250000              411813549338   
1                       311998250000              426042830618   
2                       311998250000              413718750992   
3                       311998250000              401708478259   
4                       311998250000              414877703816   
5                       311998250000              439013912855   
6                       311998250000              482980525368   
7                       311998250000              431514926024   
8                       311998250000              415162682492   
9                       156000000000              401404310943   
10                      156000000000              387963946071   

    VỐN CHỦ SỞ HỮU (Tỷ đồng)  Vay và nợ thuê tài chính dài hạn (Tỷ đồng)  \
0               411813549338                                           0   
1               426042830618                                           0   
2               413718750992                                           0   
3               401708478259                                    43750000   
4               414877703816                                   568750000   
5               439013912855                                  1093750000   
6               482980525368                                 54081408754   
7               431514926024                                 50000000000   
8               415162682492                                 33944784890   
9               401404310943                                 56537831250   
10              387963946071                                112434635110   

    Nợ dài hạn (Tỷ đồng)  Người mua trả tiền trước ngắn hạn (Tỷ đồng)  \
0            47090278858                                     26970419   
1            47886696063                                    260198857   
2            49110871388                                   2114134289   
3            49178224957                                    750788600   
4            51126055684                                   1425267596   
5            45284702943                                   1236801826   
6            54081408754                                 133412762096   
7            50000000000                                  92156428364   
8            33944784890                                  26303430507   
9            56537831250                                   1214844788   
10          112434635110                                   8625922828   

