    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
0  DCT  2023        11225818459              273559733            1631390589   
1  DCT  2022        14853043600               63137509              84472726   
2  DCT  2021        21103802361                8264697                     0   
3  DCT  2019        25172708086                      0            2045807955   
4  DCT  2018        37853300696                      0            5241093897   
5  DCT  2017        24814231980               19108963            4091731647   
6  DCT  2016        49992045738            10236399715            5114693643   
7  DCT  2015        68096540001             3376487525            6137652439   
8  DCT  2014        39973737960             4367806906            7160610835   
9  DCT  2013        78197308651             2245924806            8183669231   

   Dự phòng giảm giá đầu tư dài hạn  Tài sản cố định hữu hình  \
0                      -90000000000              413425197878   
1                      -90000000000              444835983165   
2                      -90000000000              476705283797   
3                      -90000000000              544068764709   
4                      -90000000000              578725389945   
5                      -90000000000              604565712277   
6                      -33153926953              660376402975   
7                       -5655794935              719612105197   
8                       -8171632453              773501880941   
9                      -11734710842              826890925222   

   Tài sản cố định vô hình  TÀI SẢN NGẮN HẠN (Tỷ đồng)  \
0               6109741647                309189871400   
1               6347327737                314103861035   
2               6589033849                277613607886   
3               7072446073                176154484162   
4               7314152185                 97629435854   
5               7510538295                 97991883418   
6               7773227453                164981562162   
7               8096532952                217711107944   
8               8422692364                132342549242   
9               8748851776                126197943820   

   Tiền và tương đương tiền (Tỷ đồng)  Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                          3940981039                           293749512169   
1                          2975471492                           296212208434   
2                          8027929960                           248473610868   
3                          1795958783                           149185817293   
4                          1634636043                            58141499115   
5                          5654328624                            67504213851   
6                          2257890496                           102495226213   
7                           491503824                           145746576594   
8                          1460160314                            86540844062   
9                           918704302                            44836006061   

   Trả trước cho người bán ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                                  2455794324                   11225818459   
1                                  2441585362                   14853043600   
2                                  3451986391                   21103802361   
3                                  1958786200                   25172708086   
4                                  1952223000                   37853300696   
5                                 13649601316                   24814231980   
6                                 11931693328                   49992045738   
7                                 11702486526                   68096540001   
8                                 12685137093                   39973737960   
9                                  5513810922                   78197308651   

   Tài sản lưu động khác (Tỷ đồng)  TÀI SẢN DÀI HẠN (Tỷ đồng)  \
0                                0               426486254080   
1                                0               451267783628   
2                                0               483294317646   
3                                0               554995381637   
4                                0               591330636027   
5                                0               623489125619   
6                                0               736478904156   
7                                0               820241202455   
8                       2974946681               871419281777   
9                       1707926496               922906796261   

   TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  Lãi chưa phân phối (Tỷ đồng)  \
0                   735676125480                 -787753619524   
1                   765371644663                 -688821040898   
2                   760907925532                 -611226549644   
3                   731149865799                 -524225748461   
4                   688960071881                 -530858344531   
5                   721481009037                 -540131663195   
6                   901460466318                 -384085190609   
7                  1037952310399                 -360264846840   
8                  1003761831019                 -273333152325   
9                  1049104740081                 -161305433346   

   Quỹ đầu tư và phát triển (Tỷ đồng)  Cổ phiếu phổ thông (Tỷ đồng)  \
0                         22694204001                  272236470000   
1                         22694204001                  272236470000   
2                         22694204001                  272236470000   
3                         22694204001                  272236470000   
4                         22694204001                  272236470000   
5                         22694204001                  272236470000   
6                         22694204001                  272236470000   
7                         22694204001                  272236470000   
8                         11243301309                  272236470000   
9                         11243301309                  272236470000   

   Vốn góp của chủ sở hữu (Tỷ đồng)  Vốn và các quỹ (Tỷ đồng)  \
0                      272236470000             -416085695123   
1                      272236470000             -317153116497   
2                      272236470000             -239558625243   
3                      272236470000             -152557824060   
4                      272236470000             -159190420130   
5                      272236470000             -168463738794   
6                      272236470000              -12417266208   
7                      272236470000               11403077561   
8                      272236470000               98334772076   
9                      272236470000              210362491055   

   VỐN CHỦ SỞ HỮU (Tỷ đồng)  Vay và nợ thuê tài chính dài hạn (Tỷ đồng)  \
0             -416085695123                                           0   
1             -317153116497                                           0   
2             -239558625243                                           0   
3             -152557824060                                229569826807   
4             -159190420130                                349569826807   
5             -168463738794                                499569826807   
6              -12417266208                                529569826807   
7               11403077561                                559569826807   
8               98334772076                                589569826807   
9              210362491055                                404569826807   

   Nợ dài hạn (Tỷ đồng)  Người mua trả tiền trước ngắn hạn (Tỷ đồng)  \
0                     0                                            0   
1                     0                                     36432594   
2              49020000                                     36322988   
3          306933735132                                   1354843926   
4          466933735132                                     37563425   
5          709133453561                                    167382745   
6          742607714009                                    166147083   
7          746533735132                                    592637214   
8          649676304556                                   4439153598   
9          404569826807                                   5931169173   

   Vay và nợ thuê tài chính ngắn hạn (Tỷ đồng)  Nợ ngắn hạn (Tỷ đồng)  \
0                                 460657270145          1151761820603   
1                                 460657270145          1082524761160   
2                                 464157270145          1000417530775   
3                                 234587443338           576773954727   
4                                 122234443338           381216756879   
5                                  52245273148           180811294270   
6                                  44850000000           171270018517   
7                                  99881771310           280015497706   
8                                  83288982018           255750754387   
9                                 268413452957           434172422219   

   NỢ PHẢI TRẢ (Tỷ đồng)  TỔNG CỘNG TÀI SẢN (Tỷ đồng)  \
0          1151761820603                 735676125480   
1          1082524761160                 765371644663   
2          1000466550775                 760907925532   
3           883707689859                 731149865799   
4           848150492011                 688960071881   
5           889944747831                 721481009037   
6           913877732526                 901460466318   
7          1026549232838                1037952310399   
8           905427058943                1003761831019   
9           838742249026                1049104740081   

   Trả trước dài hạn (Tỷ đồng)  Tài sản dài hạn khác (Tỷ đồng)  \
0                   1631390589                     90000000000   
1                     84472726                     90000000000   
2                            0                     90000000000   
3                   2045807955                     90000000000   
4                   5241093897                     90000000000   
5                   4091731647                     90000000000   
6                   5114693643                     90000000000   
7                   6137652439                     90000000000   
8                   7160610835                     90000000000   
9                   8183669231                     90000000000   

   Đầu tư dài hạn (Tỷ đồng)  Tài sản cố định (Tỷ đồng)  \
0                         0               419534939525   
1                         0               451183310902   
2                         0               483294317646   
3                         0               551141210782   
4                         0               586039542130   
5                         0               612076250572   
6               56846073047               668149630428   
7               84344205065               727708638149   
8               81828367547               782430303395   
9               78265289158               836457837872   

   Phải thu dài hạn khác (Tỷ đồng)  Phải thu dài hạn (Tỷ đồng)  
0                                0                           0  
1                                0                           0  
2                                0                           0  
3                       1758362900                  1758362900  
4                                0                           0  
5                                0                           0  
6                         21000000                    21000000  
7                         21000000                    21000000  
8                                0                           0  
9                                0                           0  
    CP   Năm  Lãi/Lỗ ròng trước thuế  Tăng trưởng doanh thu (%)  \
0  DCT  2023            -98932578626                  -0.443441   
1  DCT  2022            -77594491254                   0.019528   
2  DCT  2021            -46037189112                  -0.472078   
3  DCT  2019              6632596070                  -0.075832   
4  DCT  2018             -1155706990                   0.163127   
5  DCT  2017           -156046472586                   0.199427   
6  DCT  2016            -23820343769                  -0.077886   
7  DCT  2015            -86842528771                   0.056167   
8  DCT  2014           -112027718979                   0.037248   
9  DCT  2013           -134777284419                   0.000000   

   Doanh thu (Tỷ đồng)  Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng)  \
0         109120583405                                       -98932578626     
1         196062843085                                       -77594491254     
2         192307556969                                       -46037189112     
3         364272704443                                         6632596070     
4         394162668550                                        -1155706990     
5         338881896086                                      -156046472584     
6         282536570113                                       -23820343769     
7         306400810948                                       -86931694515     
8         290106290834                                      -110027718979     
9         279688464738                                      -134777284419     

   Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                  -0.274995             6583863             6583863   
1                  -0.685474             9020904             9020904   
2                  -7.941051            10887601            10887601   
3                   6.738995            74336260            74336260   
4                   0.992594            29564269            29564269   
5                  -5.550975            25296321            25296321   
6                   0.725988           212951287           212951287   
7                   0.209911            14842563            14842563   
8                   0.183633           113265547           113265547   
9                   0.000000           106528461           106528461   

   Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0          -75697008720          -75697008720     109026313578   
1          -73473555946          -73473555946     191701531230   
2          -66481383786          -66481383786     187336886697   
3          -48526102596          -48526102596     357525393272   
4          -55236219198          -55236219198     387411507295   
5          -60278900966          -60278900966     336126246996   
6          -61401954626          -61401954626     279914927023   
7          -71868775362          -71868775362     306400810948   
8          -79114390204          -79114390204     290106290834   
9          -89392579617          -89392579617     279688464738   

   Doanh thu thuần      Lãi gộp      Lãi gộp  Chi phí tài chính  \
0     109026313578 -13974522283 -13974522283       -75697008720   
1     191701531230   5159971639   5159971639       -73473555946   
2     187336886697  26569860991  26569860991       -66481383786   
3     357525393272  62400497860  62400497860       -48526102596   
4     387411507295  63795732658  63795732658       -55236219198   
5     336126246996 -26739708604 -26739708604      -117124974014   
6     279914927023 -21257866046 -21257866046       -89032128975   
7     306400810948   7832533994   7832533994       -69903522270   
8     290106290834  -6538928569  -6538928569       -76005605857   
9     279688464738   2378015143   2378015143      -101879291083   

   Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0       -75697008720         -6846271428         -6846271428   
1       -73473555946         -6897902678         -6897902678   
2       -66481383786         -5909052932         -5909052932   
3       -48526102596         -7129777619         -7129777619   
4       -55236219198        -10428955352        -10428955352   
5      -117124974014         -9015019235         -9015019235   
6       -89032128975        -12620209043        -12620209043   
7       -69903522270        -17205414872        -17205414872   
8       -76005605857        -19031059628        -19031059628   
9      -101879291083        -19433344211        -19433344211   

   Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                    -98443589561                    -98443589561   
1                    -75548905387                    -75548905387   
2                    -46079394109                    -46079394109   
3                      6158116258                      6158116258   
4                     -2730257121                     -2730257121   
5                   -155736308488                   -155736308488   
6                   -126181754417                   -126181754417   
7                    -86405209520                    -86405209520   
8                   -109501770937                   -109501770937   
9                   -126884396078                   -126884396078   

   Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0             -654066103     -123000835861       -1932370993   
1            -2068630941     -186541559591        -346439306   
2             -165327467     -160767025706        -269705983   
3             -635848597     -295124895412        -660837647   
4             -471773894     -323615774637        -890379498   
5            -1258067995     -362865955600       -2881902956   
6            -1532713678     -301172793069       -3484501640   
7             -575857377     -298568276954       -7143648935   
8             -912092142     -296645219403       -8039442430   
9            -8118600430     -277310449595       -8056304388   

   Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  \
0       -1932370993                            109120583405   
1        -346439306                            196062843085   
2        -269705983                            192307556969   
3        -660837647                            364272704443   
4        -890379498                            394162668550   
5       -2881902956                            338881896086   
6       -3484501640                            282536570113   
7       -7143648935                            306400810948   
8       -8039442430                            290106290834   
9       -8056304388                            279688464738   

   Các khoản giảm trừ doanh thu  Thu nhập khác  Lợi nhuận khác  LN trước thuế  \
0                     -94269827      165077038      -488989065   -98932578626   
1                   -4361311855       23045074     -2045585867   -77594491254   
2                   -4970670272      207532464        42204997   -46037189112   
3                   -6747311171     1110328409       474479812     6632596070   
4                   -6751161255     2046324025      1574550131    -1155706990   
5                   -2755649090      947903899      -310164096  -156046472584   
6                   -2621643090   103894124326    102361410648   -23820343769   
7                             0       49372382      -526484995   -86931694515   
8                             0      386144100      -525948042  -110027718979   
9                             0      225712089     -7892888341  -134777284419   

   Lợi nhuận thuần  Cổ đông của Công ty mẹ  Lãi cơ bản trên cổ phiếu  
0     -98932578626            -98932578626                     -3634  
1     -77594491254            -77594491254                     -2850  
2     -46037189112            -46037189112                     -1691  
3       6632596070              6632596070                       244  
4      -1155706990             -1155706990                       -42  
5    -156046472584           -156046472584                     -5732  
6     -23820343769            -23820343769                      -875  
7     -86931694515            -86931694515                     -3193  
8    -110027718979           -110027718979                     -4115  
9    -134777284419           -134777284419                     -4951  
    CP   Năm  Tiền và tương đương tiền  \
0  DCT  2023                2975471492   
1  DCT  2022                8027929960   
2  DCT  2021                4174708161   
3  DCT  2019                1634636043   
4  DCT  2018                5654328624   
5  DCT  2017                2257890496   
6  DCT  2016                 491503824   
7  DCT  2015                1460160314   
8  DCT  2014                 918704302   
9  DCT  2013                5380978985   

