     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
0   DID  2023        17449653037             1348868908             102791031   
1   DID  2022        38804281946             1377086131             308458264   
2   DID  2021        30428212272              313589606             347634801   
3   DID  2020        13685718789              344141587             387559956   
4   DID  2019        21220200691              396217731             624657840   
5   DID  2018        10583078680             1696024155                     0   
6   DID  2017        27314805952             2017127606             150467335   
7   DID  2016        17048618070              296271570            1172936123   
8   DID  2015        15677741733              294287049            3344292990   
9   DID  2014        16036481694              729619549            3960620532   
10  DID  2013        21781604123             3546351851            3810231021   

    Đầu tư vào công ty liên doanh  Dự phòng giảm giá đầu tư dài hạn  \
0                               0                                 0   
1                               0                                 0   
2                               0                                 0   
3                               0                                 0   
4                               0                                 0   
5                               0                                 0   
6                      3288000000                       -2832000000   
7                      6000000000                       -2440561150   
8                      6000000000                       -1581327293   
9                      6000000000                       -1049667384   
10                     6000000000                                 0   

    Tài sản cố định hữu hình  Tài sản cố định vô hình  \
0               136856360634                        0   
1               143059843043                        0   
2               150818026422                        0   
3               131898222350                        0   
4               119197732766                        0   
5                69255012973                  4037500   
6                44490289711                 16150000   
7                50347935878                 28262500   
8                43312329286                 36337500   
9                39597280080                        0   
10               44996481471                        0   

    TÀI SẢN NGẮN HẠN (Tỷ đồng)  Tiền và tương đương tiền (Tỷ đồng)  \
0                  75232099551                          3347673111   
1                 212905886376                          5148962865   
2                 152294524146                         12206055487   
3                 143978703867                         15002825976   
4                 165834856652                          8858799911   
5                 139830960061                          3035434795   
6                 142079971362                          4687259106   
7                 102060817119                          2808473263   
8                  88148085668                          3913377705   
9                  80355877526                          2649509273   
10                 91811112476                          3922009496   

    Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                             53085904495   
1                            167575555434   
2                            109346666781   
3                            114946017515   
4                            135359638319   
5                            124516422431   
6                            108060778698   
7                             81907454216   
8                             68262679181   
9                             60940267010   
10                            62561147006   

    Trả trước cho người bán ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                                   1641780978                   17449653037   
1                                  11985196325                   38804281946   
2                                  12496083872                   30428212272   
3                                  48066799194                   13685718789   
4                                  43836776173                   21220200691   
5                                  11750855157                   10583078680   
6                                  18292637790                   27314805952   
7                                  10167531146                   17048618070   
8                                   9792670122                   15677741733   
9                                   9914130551                   16036481694   
10                                  9782887068                   21781604123   

    Tài sản lưu động khác (Tỷ đồng)  TÀI SẢN DÀI HẠN (Tỷ đồng)  \
0                                 0               261000156549   
1                                 0               174787468385   
2                                 0               185696015307   
3                                 0               185964299127   
4                                 0               139409906375   
5                                 0               145478808051   
6                                 0                82331125717   
7                                 0                65214501651   
8                                 0                57310978965   
9                                 0                54703879710   
10                       3289538716                56430517623   

    TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  Lãi chưa phân phối (Tỷ đồng)  \
0                    336232256100                   18909252884   
1                    387693354761                   18636625324   
2                    337990539453                   18258277475   
3                    329943002994                   17532872870   
4                    305244763027                   15265423019   
5                    285309768112                    9877528682   
6                    224411097079                    2989457823   
7                    167275318770                    1385622248   
8                    145459064633                    2183613653   
9                    135059757236                     184380631   
10                   148241630099                     359327072   

    Quỹ đầu tư và phát triển (Tỷ đồng)  Cổ phiếu phổ thông (Tỷ đồng)  \
0                           1126570906                  156225520000   
1                           1126570906                  156225520000   
2                           1126570906                  139000000000   
3                           1126570906                  139000000000   
4                           1126570906                  139000000000   
5                           1126570906                   80000000000   
6                           1126570906                   80000000000   
7                           1126570906                   50000000000   
8                           1126570906                   50000000000   
9                           1126570906                   50000000000   
10                           453264365                   50000000000   

    Vốn góp của chủ sở hữu (Tỷ đồng)  Vốn và các quỹ (Tỷ đồng)  \
0                       156225520000              183437343790   
1                       156225520000              183164716230   
2                       139000000000              165700848381   
3                       139000000000              164975443776   
4                       139000000000              162707993925   
5                        80000000000               98412099588   
6                        80000000000               91524028729   
7                        50000000000               59920193154   
8                        50000000000               60718184559   
9                        50000000000               58718951537   
10                       50000000000               58893897978   

    VỐN CHỦ SỞ HỮU (Tỷ đồng)  Vay và nợ thuê tài chính dài hạn (Tỷ đồng)  \
0               183437343790                                  8100000000   
1               183164716230                                 13478000000   
2               165700848381                                 12356000000   
3               164975443776                                 34926476000   
4               162707993925                                 38219076000   
5                98412099588                                  7679276000   
6                91524028729                                  4124111111   
7                59920193154                                  4101000000   
8                60718184559                                  4320000000   
9                58718951537                                  4490000000   
10               58893897978                                  7428000000   

    Nợ dài hạn (Tỷ đồng)  Người mua trả tiền trước ngắn hạn (Tỷ đồng)  \
0            29100000000                                  17483132732   
1            13478000000                                   1046924280   
2            12356000000                                  20378454088   
3            34926476000                                   6981263822   
4            38219076000                                   3515224056   
5             7679276000                                   3831539707   
6             4124111111                                   4499258329   
7             4101000000                                   9065834485   
8             4320000000                                   2061166514   
9             4490000000                                   1421189812   
10            7428000000                                   1629359490   

    Vay và nợ thuê tài chính ngắn hạn (Tỷ đồng)  Nợ ngắn hạn (Tỷ đồng)  \
0                                   67837677158           123694912310   
1                                   74043379274           191050638531   
2                                   76595962485           159933691072   
3                                   73595542296           130041083218   
4                                   74566006613           104317693102   
5                                   75262177024           179218392524   
6                                   68238536608           128762957239   
7                                   58802454796           103254125616   
8                                   53837416089            80420880074   
9                                   57811222553            71850805699   
10                                  52301800994            81919732121   

    NỢ PHẢI TRẢ (Tỷ đồng)  TỔNG CỘNG TÀI SẢN (Tỷ đồng)  \
0            152794912310                 336232256100   
1            204528638531                 387693354761   
2            172289691072                 337990539453   
3            164967559218                 329943002994   
4            142536769102                 305244763027   
5            186897668524                 285309768112   
6            132887068350                 224411097079   
7            107355125616                 167275318770   
8             84740880074                 145459064633   
9             76340805699                 135059757236   
10            89347732121                 148241630099   

    Trả trước dài hạn (Tỷ đồng)  Tài sản dài hạn khác (Tỷ đồng)  \
0                     102791031                       151500000   
1                     308458264                       151500000   
2                     347634801                       151500000   
3                     387559956                       151500000   
4                     624657840                       151500000   
5                             0                     12751500000   
6                     150467335                       151500000   
7                    1172936123                       151500000   
8                    3344292990                       151500000   
9                    3960620532                       151500000   
10                   3810231021                       151500000   

    Đầu tư dài hạn (Tỷ đồng)  Tài sản cố định (Tỷ đồng)  
0                  151500000               136856360634  
1                  151500000               143059843043  
2                  151500000               150818026422  
3                  151500000               131898222350  
4                  151500000               119197732766  
5                12751500000                69259050473  
6                  607500000                44506439711  
7                 3710938850                50376198378  
8                 4570172707                43348666786  
9                 5101832616                39597280080  
10                6151500000                46468786602  
     CP   Năm  Tăng trưởng doanh thu (%)  Doanh thu (Tỷ đồng)  \
0   DID  2023                  -0.355262         227416474050   
1   DID  2022                   0.438119         352726951793   
2   DID  2021                  -0.008597         245269585090   
3   DID  2020                  -0.084598         247396436453   
