     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
0   DND  2023         9419300547              807256383          106816636530   
1   DND  2022         5354818471             1508988657          104810351310   
2   DND  2021         7759617913               31551549           72055347341   
3   DND  2020         7677874578             5092712127           82429119597   
4   DND  2019         6409780861              242147502           67496341843   
5   DND  2018         7521060169             1267323790           73536778805   
6   DND  2017         6401589858             1106680548           74997251277   
7   DND  2016         6164982319             1844676429           82913129391   
8   DND  2015         5276004517              377850422           59017622858   
9   DND  2014         6587350665             2138725054           56219786581   
10  DND  2013         9066124717             2117919049           26210373468   

    Tài sản cố định hữu hình  Tài sản cố định vô hình  \
0                13960857724                 60000008   
1                18376499444                 70000004   
2                23325214378                 80000000   
3                28659297719                        0   
4                34139431647                        0   
5                27822769400                        0   
6                30541157341                        0   
7                28394035429                        0   
8                22623612070                        0   
9                24239408590                        0   
10               17760382752                 19379817   

    TÀI SẢN NGẮN HẠN (Tỷ đồng)  Tiền và tương đương tiền (Tỷ đồng)  \
0                  34454582219                          4639067192   
1                  36127127565                          4569089916   
2                  53596528734                         13906165095   
3                  55027228622                          9480529891   
4                  68185724956                         21684672682   
5                  69018055391                         29617506836   
6                  50245578359                         24331310436   
7                  49812724604                         20104336370   
8                  52441089215                         13434948803   
9                  52273089209                          6518667645   
10                 59443488006                          6145585715   

    Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                             19588958097   
1                             24694230521   
2                             31899194177   
3                             32776112026   
4                             39849123911   
5                             30612164596   
6                             18405997517   
7                             21698729486   
8                             33352285473   
9                             37028345845   
10                            42113858525   

    Trả trước cho người bán ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                                   2595218774                    9419300547   
1                                   2475400314                    5354818471   
2                                   1828972848                    7759617913   
3                                   1628911058                    7677874578   
4                                   1315476776                    6409780861   
5                                   9690936622                    7521060169   
6                                   1810933372                    6401589858   
7                                   1659604985                    6164982319   
8                                   2693961571                    5276004517   
9                                   1203234401                    6587350665   
10                                   993012401                    9066124717   

    Tài sản lưu động khác (Tỷ đồng)  TÀI SẢN DÀI HẠN (Tỷ đồng)  \
0                                 0               150961834483   
1                                 0               155570420637   
2                                 0               133438261976   
3                                 0               140165852101   
4                                 0               136952590235   
5                                 0               127713852207   
6                                 0               132856397331   
7                                 0               133355247446   
8                                 0               113797861151   
9                        1802121615                98232142455   
10                       1956434777                88693582158   

    TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  Lãi chưa phân phối (Tỷ đồng)  \
0                    185416416702                   -7541274425   
1                    191697548202                  -13383495153   
2                    187034790710                   17295726423   
3                    195193080723                   20608863606   
4                    205138315191                   20190216762   
5                    196731907598                   20772236679   
6                    183101975690                    6496694841   
7                    183167972050                    4309170326   
8                    166238950366                    3897641713   
9                    150505231664                    2589177666   
10                   148137070164                    1596903639   

    Quỹ đầu tư và phát triển (Tỷ đồng)  Cổ phiếu phổ thông (Tỷ đồng)  \
0                          18205427084                   88340000000   
1                          18205427084                   88340000000   
2                          17754419971                   88340000000   
3                          17116828003                   88340000000   
4                          16483230499                   88340000000   
5                          16483230499                   88340000000   
6                          15235229803                   88340000000   
7                          14840444832                   88340000000   
8                          14381542201                   88340000000   
9                          14259004846                   88340000000   
10                         14207380413                   88340000000   

    Vốn góp của chủ sở hữu (Tỷ đồng)  Vốn và các quỹ (Tỷ đồng)  \
0                        88340000000               99004152659   
1                        88340000000               93161931931   
2                        88340000000              123390146394   
3                        88340000000              126065691609   
4                        88340000000              125013447261   
5                        88340000000              125595467178   
6                        88340000000              110071924644   
7                        88340000000              107489615158   
8                        88340000000              106619183914   
9                        88340000000              105188182512   
10                       88340000000              107292518031   

