     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
0   DPP  2023        45721467025             1682045139             445972191   
1   DPP  2022        67038840887             2900858671             184363955   
2   DPP  2021        50320477716             2350110029             109195083   
3   DPP  2020        43012814216             2192463563             133313332   
4   DPP  2019        48972651881             2300344732              46193709   
5   DPP  2018        50283069339             1652246577             150681191   
6   DPP  2017        30706000473              560946326             340760694   
7   DPP  2016        29675049286              630450022             445153276   
8   DPP  2015        27559710482               46096137             285379826   
9   DPP  2014        45304118985              755461391             441841165   
10  DPP  2013        24715624737              354277337             363055616   

    Các quỹ khác  Các quỹ khác  Vốn Ngân sách nhà nước và quỹ khác  \
0     4891400000    4891400000                            79309137   
1     4891400000    4891400000                            79309137   
2     2591400000    2591400000                            79309137   
3     1290550000    1290550000                            79309137   
4      868000000     868000000                            79309137   
5     2917157439    2917157439                            79309137   
6     2917157439    2917157439                            79309137   
7     2917157439    2917157439                            79309137   
8     2917157439    2917157439                            79309137   
9     2917157439    2917157439                            79309137   
10    2917157439    2917157439                            79309137   

    Vốn Ngân sách nhà nước và quỹ khác  Vốn Ngân sách nhà nước và quỹ khác  \
0                             79309137                            79309137   
1                             79309137                            79309137   
2                             79309137                            79309137   
3                             79309137                            79309137   
4                             79309137                            79309137   
5                             79309137                            79309137   
6                             79309137                            79309137   
7                             79309137                            79309137   
8                             79309137                            79309137   
9                             79309137                            79309137   
10                            79309137                            79309137   

    Vốn Ngân sách nhà nước và quỹ khác  Tài sản cố định hữu hình  \
0                             79309137               13483802611   
1                             79309137               16336649621   
2                             79309137               16020036778   
3                             79309137               17329615971   
4                             79309137               19402700377   
5                             79309137               16099915995   
6                             79309137               16710056040   
7                             79309137               16764404496   
8                             79309137               17989211445   
9                             79309137               19576289727   
10                            79309137               20726280589   

    Tài sản cố định vô hình  TÀI SẢN NGẮN HẠN (Tỷ đồng)  \
0                  56666667                 81678593730   
1                  99166667                102747836019   
2                 141666667                 77039152582   
3                         0                 67169303354   
4                         0                 69371672141   
5                         0                 75472955944   
6                         0                 50544883678   
7                         0                 52940470108   
8                         0                 55534010387   
9                         0                 92112022327   
10                        0                 60089653544   

    Tiền và tương đương tiền (Tỷ đồng)  Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                            936268321                            33338813245   
1                            837552540                            31970583921   
2                            836732620                            23531832217   
3                           1205645789                            20758379786   
4                            733454202                            17365221326   
5                           7583665411                            15953974617   
6                           1060526625                            18217410254   
7                           1337240265                            21297730535   
8                           1933335372                            25994868396   
9                           4563341367                            41489100584   
10                          3943790175                            31075961295   

    Trả trước cho người bán ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                                   1575339120                   45721467025   
1                                   1857198650                   68002440887   
2                                   2204029000                   50320477716   
3                                   3969852310                   43012814216   
4                                    322925000                   48972651881   
5                                    186400000                   50283069339   
6                                     24750000                   30706000473   
7                                   1167150388                   29675049286   
8                                    100296000                   27559710482   
9                                   1226648463                   45304118985   
10                                    23851960                   24715624737   

    Tài sản lưu động khác (Tỷ đồng)  TÀI SẢN DÀI HẠN (Tỷ đồng)  \
0                                 0                13986441469   
1                                 0                16620180243   
2                                 0                16270898528   
3                                 0                17462929303   
4                                 0                19460294086   
5                                 0                16261997186   
6                                 0                17062216734   
7                                 0                17277467952   
8                                 0                18342501451   
9                          65808000                20029530892   
10                         34700000                21100736205   

    TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  Lãi chưa phân phối (Tỷ đồng)  \
0                     95665035199                   11292496111   
1                    119368016262                    9515799034   
2                     93310051110                    7712990299   
3                     84632232657                    7300742538   
4                     88831966227                    6614500176   
5                     91734953130                    5707880837   
6                     67607100412                    4758673449   
7                     70217938060                    4134470943   
8                     73876511838                    3995762670   
9                    112141553219                    3411544994   
10                    81190389749                    3512958564   

    Quỹ đầu tư và phát triển (Tỷ đồng)  Cổ phiếu phổ thông (Tỷ đồng)  \
0                           6449590845                   30000100000   
1                           4895546085                   30000100000   
2                           5842744333                   30000100000   
3                           6505695934                   30000100000   
4                           6348748360                   30000100000   
5                           3795104841                   30000100000   
6                           3366809847                   19854470000   
7                           3015161193                   19854470000   
8                           2667312609                   19854470000   
9                           1460500475                   19854470000   
10                          1265710773                   19854470000   

    Vốn góp của chủ sở hữu (Tỷ đồng)  Vốn và các quỹ (Tỷ đồng)  \
0                        30000100000               52633586956   
1                        30000100000               49302845119   
2                        30000100000               46147234632   
3                        30000100000               45097088472   
4                        30000100000               43831348536   
5                        30000100000               42420243117   
6                        19854470000               30897110735   
7                        19854470000               29921259575   
8                        19854470000               29434702718   
9                        19854470000               28509330543   
10                       19854470000               28240306483   

    VỐN CHỦ SỞ HỮU (Tỷ đồng)  Vay và nợ thuê tài chính dài hạn (Tỷ đồng)  \
0                52712896093                                           0   
1                49382154256                                           0   
2                46226543769                                           0   
3                45176397609                                           0   
4                43910657673                                           0   
5                42499552254                                           0   
6                30976419872                                           0   
7                30000568712                                           0   
8                29514011855                                           0   
9                28588639680                                           0   
10               28319615620                                   194060680   

    Nợ dài hạn (Tỷ đồng)  Người mua trả tiền trước ngắn hạn (Tỷ đồng)  \
0              116500000                                   1765600121   
1              116500000                                   2549199127   
2              116500000                                   2741698161   
3              118250000                                   4455783822   
4              173750000                                     78838125   
5              263750000                                    508940060   
6              271750000                                    185843251   
7              294750000                                    807711617   
8             1541837515                                   2657646103   
9              736300000                                   2560648625   
10             783120624                                    281846782   

    Vay và nợ thuê tài chính ngắn hạn (Tỷ đồng)  Nợ ngắn hạn (Tỷ đồng)  \
0                                    3390112401            42835639106   
1                                   15839895831            69869362006   
2                                    1513500000            46967007341   
3                                    4693096911            39337585048   
4                                    8163857160            44747558554   
5                                    6294893207            48971650876   
6                                    5174340071            36358930540   
7                                    4623325943            39922619348   
8                                    2215000000            42820662468   
9                                    7000000000            82816613539   
10                                   9000000000            52087653505   

    NỢ PHẢI TRẢ (Tỷ đồng)  TỔNG CỘNG TÀI SẢN (Tỷ đồng)  \
0             42952139106                  95665035199   
1             69985862006                 119368016262   
2             47083507341                  93310051110   
3             39455835048                  84632232657   
4             44921308554                  88831966227   
5             49235400876                  91734953130   
6             36630680540                  67607100412   
7             40217369348                  70217938060   
8             44362499983                  73876511838   
9             83552913539                 112141553219   
10            52870774129                  81190389749   

    Trả trước dài hạn (Tỷ đồng)  Tài sản dài hạn khác (Tỷ đồng)  \
0                     445972191                               0   
1                     184363955                               0   
2                     109195083                               0   
3                     133313332                               0   
4                      46193709                        11400000   
5                     150681191                        11400000   
6                     340760694                        11400000   
7                     445153276                        11400000   
8                     285379826                        11400000   
9                     441841165                        11400000   
10                    363055616                        11400000   

    Đầu tư dài hạn (Tỷ đồng)  Tài sản cố định (Tỷ đồng)  \
0                          0                13540469278   
1                          0                16435816288   
2                          0                16161703445   
3                          0                17329615971   
4                   11400000                19402700377   
5                   11400000                16099915995   
6                   11400000                16710056040   
7                   11400000                16764404496   
8                   11400000                17989211445   
9                   11400000                19576289727   
10                  11400000                20726280589   

    Phải thu dài hạn khác (Tỷ đồng)  Phải thu dài hạn (Tỷ đồng)  
0                                 0                           0  
1                                 0                           0  
2                                 0                           0  
3                                 0                           0  
4                                 0                           0  
5                                 0                           0  
6                                 0                           0  
7                          56510180                    56510180  
8                          56510180                    56510180  
9                                 0                           0  
10                                0                           0  
     CP   Năm  Tăng trưởng doanh thu (%)  Doanh thu (Tỷ đồng)  \
0   DPP  2023                  -0.210444         324814037334   
1   DPP  2022                   0.237327         411388425803   
2   DPP  2021                   0.010720         332481582989   
3   DPP  2020                   0.176890         328955180830   
4   DPP  2019                   0.102886         279512241650   
5   DPP  2018                   0.560718         253437179548   
6   DPP  2017                   0.098746         162385005421   
7   DPP  2016                  -0.129153         147791279378   
8   DPP  2015                  -0.332076         169709730679   
9   DPP  2014                   1.161681         254085380380   
10  DPP  2013                   0.000000         117540669278   

    Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng)  \
0                                          8290287407     
1                                          7770223801     
2                                          6764008759     
3                                          6378983541     
4                                          5794975741     
5                                          5044860808     
6                                          4282949941     
7                                          3516486541     
8                                          3478485837     
9                                          3411544994     
10                                         3512958564     

    Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                    0.066930           967917829           967917829   
1                    0.148760          1181254941          1181254941   
2                    0.060358           951348605           951348605   
3                    0.100778          1422220590          1422220590   
4                    0.148689          1003708698          1003708698   
5                    0.177894           847282938           847282938   
6                    0.217963           234396348           234396348   
7                    0.010924           401926625           401926625   
8                    0.019622           133276565           133276565   
9                   -0.028868           286165482           286165482   
10                   0.000000            72910538            72910538   

    Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0             -708298743            -708298743     322872351649   
1             -651569512            -651569512     408472041270   
2             -415490454            -415490454     329877606132   
3             -473755834            -473755834     328775094890   
4             -319892721            -319892721     279311043669   
5             -539396384            -539396384     253240198788   
6             -403386785            -403386785     161946371491   
7             -239182908            -239182908     146034970156   
8             -429406177            -429406177     169150106889   
9             -639577561            -639577561     249740161930   
10            -998202341            -998202341     117470676555   

    Doanh thu thuần      Lãi gộp      Lãi gộp  Chi phí tài chính  \
0      322872351649  27274053362  27274053362        -1355568851   
1      408472041270  31702522323  31702522323        -2543855744   
2      329877606132  22226509857  22226509857         -470881873   
3      328775094890  21133761748  21133761748        -1547615148   
4      279311043669  20884724820  20884724820         -473022093   
5      253240198788  20932492107  20932492107        -1493352014   
6      161946371491  19185685070  19185685070         -543710508   
7      146034970156  19351047868  19351047868         -463652939   
8      169150106889  19632431798  19632431798        -2179885687   
9      249740161930  24012122775  24012122775        -1497220376   
10     117470676555  21195980946  21195980946        -1147605250   

    Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0         -1355568851         -8419413166         -8419413166   
1         -2543855744         -9648965415         -9648965415   
2          -470881873         -7337814918         -7337814918   
3         -1547615148         -7053660831         -7053660831   
4          -473022093         -6911117616         -6911117616   
5         -1493352014         -6881737678         -6881737678   
6          -543710508         -6477972240         -6477972240   
7          -463652939         -7167450281         -7167450281   
8         -2179885687         -7194834530         -7194834530   
9         -1497220376         -7991577184         -7991577184   
10        -1147605250         -7076060920         -7076060920   

    Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                      10281593213                     10281593213   
1                       9766534855                      9766534855   
2                       8489638566                      8489638566   
3                       7441922755                      7441922755   
4                       6937527941                      6937527941   
5                       5983088797                      5983088797   
6                       5175157141                      5175157141   
7                       4140139652                      4140139652   
8                       4003380682                      4003380682   
9                       4334999752                      4334999752   
10                      4258749458                      4258749458   

    Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0               -41807147     -295598298287       -8185395961   
1               -15528963     -376769518947      -10924421250   
2                 -541002     -307651096275       -6879523105   
3               -91993022     -307641333142       -6512783604   
4                -7995182     -258426318849       -7566765868   
5               -28414099     -232307706681       -7421596556   
6               -41328758     -142760686421       -7223241529   
7               -68607864     -126683922288       -7981731621   
8               -43589950     -149517675091       -6387607464   
9              -283761534     -225728039155      -10474490945   
10               -5148142      -96274695609       -8786475856   

    Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  \
0        -8185395961                            324814037334   
1       -10924421250                            411388425803   
2        -6879523105                            332481582989   
3        -6512783604                            328955180830   
4        -7566765868                            279512241650   
5        -7421596556                            253437179548   
6        -7223241529                            162385005421   
7        -7981731621                            147791279378   
8        -6387607464                            169709730679   
9       -10474490945                            254085380380   
10       -8786475856                            117540669278   

    Các khoản giảm trừ doanh thu  Thu nhập khác  Lợi nhuận khác  \
0                    -1941685685      179630068       137822921   
1                    -2916384533       12055079        -3473884   
2                    -2603976857       10983384        10442382   
3                     -180085940      685124316       593131294   
4                     -201197981      290385712       282390530   
5                     -196980760      316617335       288203236   
6                     -438633930      293760698       252431940   
7                    -1756309222      368333477       299725613   
8                     -559623790      477046903       433456953   
9                    -4345218450      358765830        75004296   
10                     -69992723      314254876       309106734   

    LN trước thuế   Thuế TNDN  Chi phí thuế TNDN hiện hành  Lợi nhuận thuần  \
0     10419416134 -2129128727                  -2129128727       8290287407   
1      9763060971 -1992837170                  -1992837170       7770223801   
2      8500080948 -1736072189                  -1736072189       6764008759   
3      8035054049 -1656070508                  -1656070508       6378983541   
4      7219918471 -1424942730                  -1424942730       5794975741   
5      6271292033 -1226431225                  -1226431225       5044860808   
6      5427589081 -1144639140                  -1144639140       4282949941   
7      4439865265  -923378724                   -923378724       3516486541   
8      4436837635  -958351798                   -958351798       3478485837   
9      4410004048  -998459054                   -998459054       3411544994   
10     4567856192 -1054897628                  -1054897628       3512958564   

    Cổ đông của Công ty mẹ  Lãi cơ bản trên cổ phiếu  
0               8290287407                      2763  
1               7770223801                      2590  
2               6764008759                      1916  
3               6378983541                      2126  
4               5794975741                      1932  
5               5044860808                      1682  
6               4282949941                      2157  
7               3516486541                      1771  
8               3478485837                      1752  
9               3411544994                      1718  
10              3512958564                      1769  
     CP   Năm  Tiền và tương đương tiền  \
0   DPP  2023                 837552540   
1   DPP  2022                 836732620   
2   DPP  2021                1205645789   
3   DPP  2020                 733454202   
4   DPP  2019                7583665411   
5   DPP  2018                1060526625   
6   DPP  2017                1337240265   
7   DPP  2016                1933335372   
8   DPP  2015                4563341367   
9   DPP  2014                3943790175   
10  DPP  2013                4169917797   

    Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                     16085795544   
1                                     -7937319775   
2                                      8589499709   
3                                      8499998228   
4                                       217777084   
5                                      -935395945   
6                                      2455242492   
7                                      -206011711   
8                                      4553506973   
9                                      6324821993   
10                                     5202427777   

    Tiền thu được từ thanh lý tài sản cố định  \
0                                           0   
1                                           0   
2                                           0   
3                                           0   
4                                           0   
5                                           0   
6                                           0   
7                                           0   
8                                    20909090   
9                                           0   
10                                          0   

    Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác  \
0                                                   0             
1                                                   0             
2                                                   0             
3                                            11400000             
4                                                   0             
5                                                   0             
6                                                   0             
7                                                   0             
8                                                   0             
9                                                   0             
10                                                  0             

