    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
0  DTI  2023         3239036755              134419392   
1  DTI  2022        30170048573             3813891311   
2  DTI  2021           32815929                      0   
3  DTI  2020          516630608              142785999   
4  DTI  2019          516630608                7177721   
5  DTI  2018          517521196                 282455   
6  DTI  2017          521025810                      0   
7  DTI  2016          521025810              156442427   
8  DTI  2015          634607795             1013575902   
9  DTI  2014          634607795              119219788   

   Giá trị ròng tài sản đầu tư  Tài sản dài hạn khác  \
0                            0             432504256   
1                            0             119684935   
2                            0              28232956   
3                  89633962416                     0   
4                  90682250434                     0   
5                  91738493686                     0   
6                  92794736938                     0   
7                  93850980190                     0   
8                            0                     0   
9                            0                     0   

   LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ  Đầu tư vào công ty liên doanh  \
0                             0                    66652400000   
1                             0                    66652400000   
2                             0                    52500000000   
3                     200000000                              0   
4                             0                              0   
5                             0                              0   
6                             0                              0   
7                             0                              0   
8                             0                              0   
9                             0                              0   

   Dự phòng giảm giá đầu tư dài hạn  Tài sản cố định hữu hình  \
0                        -504574556                 839763412   
1                        -211403538                 980353868   
2                                 0                1120944324   
3                                 0                 266322140   
4                                 0                 621140669   
5                                 0                1051710989   
6                                 0                1482281309   
7                                 0                1912851629   
8                                 0                8966502871   
9                                 0               10880647640   

   Tài sản cố định vô hình  TÀI SẢN NGẮN HẠN (Tỷ đồng)  \
0                        0                 83343254241   
1                        0                226496066913   
2                        0                120407315414   
3                        0                 17399446033   
4                        0                 12502356593   
5                        0                  9929247988   
6                        0                 11177486822   
7                        0                  8761486535   
8                302993300                 19980413863   
9                        0                  1214584712   

   Tiền và tương đương tiền (Tỷ đồng)  Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                           796226617                            79173571477   
1                          1110943077                           191401183952   
2                          9695010189                           110679489296   
3                           458557633                            16281471793   
4                           241220991                            11737327273   
5                           433076898                             8978367439   
6                           566452833                            10090008179   
7                           980341560                             7103676738   
8                          2923635896                            15408594270   
9                           397727129                               63030000   

   Trả trước cho người bán ngắn hạn (Tỷ đồng)  \
0                                 11622919771   
1                                 26744975726   
2                                 36808355530   
3                                  1935677120   
4                                  1975677120   
5                                  1975677120   
6                                  1978677120   
7                                  2015442120   
8                                 15276565062   
9                                    63030000   

   Phải thu về cho vay ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                               300000000                    3239036755   
1                             11800000000                   30170048573   
2                              8200000000                      32815929   
3                                       0                     516630608   
4                                       0                     516630608   
5                                       0                     517521196   
6                                       0                     521025810   
7                                       0                     521025810   
8                                       0                     634607795   
9                                       0                     634607795   

   Tài sản lưu động khác (Tỷ đồng)  TÀI SẢN DÀI HẠN (Tỷ đồng)  \
0                                0               222620093112   
1                                0                77741035265   
2                                0                53649177280   
3                                0               104557109215   
4                                0               106647518035   
5                                0               108134331607   
6                                0               109280070179   
7                                0               110346656478   
8                                0                 9269496171   
9                         64215000                12816324760   

   TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  Lãi chưa phân phối (Tỷ đồng)  \
0                   305963347353                     662169373   
1                   304237102178                   14514473870   
2                   174056492694                    7588173558   
3                   121956555248                    1209880685   
4                   119149874628                    1170022510   
5                   118063579595                    4290501838   
6                   120457557001                    3104837819   
7                   119108143013                    3024101886   
8                    29249910034                    -553861319   
9                    14030909472                    -600411643   

   Cổ phiếu phổ thông (Tỷ đồng)  Vốn góp của chủ sở hữu (Tỷ đồng)  \
0                  134888000000                      134888000000   
1                  120977540000                      120977540000   
2                  120977540000                      120977540000   
3                  115217540000                      115217540000   
4                  115217540000                      115217540000   
5                  111000000000                      111000000000   
6                  111000000000                      111000000000   
7                  111000000000                      111000000000   
8                   18500000000                       18500000000   
9                   10000000000                       10000000000   

