     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
0   FCS  2023         8788449069             1662626924            5283973432   
1   FCS  2022        10929230864             1685828150            5762388169   
2   FCS  2021        31098888152             2032258514            5998149211   
3   FCS  2020        23572923428             1923085390            6444087398   
4   FCS  2019        24187175544             2080895801            6967290975   
5   FCS  2018        27782985142             3331229321            7386764810   
6   FCS  2017        29498007149             5156889654            8105627242   
7   FCS  2016       250496939342             8684125254            8434606989   
8   FCS  2015       132258810922             6697327146            7002553962   
9   FCS  2014       149223041388            16177988468            7235661768   
10  FCS  2013       164648524538            12991528290            1354466892   

    Các quỹ khác  Các quỹ khác  Đầu tư vào công ty liên doanh  \
0              0             0                     5853508822   
1              0             0                     5853508822   
2              0             0                     5853508822   
3              0             0                     5853508822   
4              0             0                     5853508822   
5              0             0                     5853508822   
6              0             0                     5853508822   
7              0             0                     5853508822   
8     9478925795    9478925795                    12400000000   
9     9478925795    9478925795                    25300000000   
10   15026762101   15026762101                    18542000000   

    Dự phòng giảm giá đầu tư dài hạn  Tài sản cố định hữu hình  \
0                         -656071409               88711032884   
1                        -2877697679              100085528042   
2                        -3661965580              112831936044   
3                        -2647683356              138203678033   
4                        -2893873230              165677415255   
5                        -3205004723              195114303549   
6                        -2035213861              224715010908   
7                         -967974675              255132217147   
8                        -6251968939              170061284140   
9                        -6251968939              184341699737   
10                       -5954314551               67173864974   

    Tài sản cố định vô hình  TÀI SẢN NGẮN HẠN (Tỷ đồng)  \
0              568525721326                 38715238578   
1              568751939014                 26899576685   
2              568981121421                 44861749122   
3              569214454455                 34528394200   
4              569453964569                 36050789093   
5              569694500614                 45699236644   
6              569876600680                 54420921664   
7              570177882338                319147639969   
8                8502493918                252844153607   
9                8730932284                208890962654   
10                671105492                288631838032   

    Tiền và tương đương tiền (Tỷ đồng)  Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                          20106835374                             8157327211   
1                           9875580044                             4408937627   
2                           2417368044                             9313234412   
3                           2006930633                             7025454749   
4                           3581982699                             6200735049   
5                           7504228968                             7080793213   
6                           5279335406                            14486689455   
7                           6935177449                            53031397924   
8                          93519856708                            20368158831   
9                          22769804244                            20720128554   
10                         22260340614                            88731444590   

    Trả trước cho người bán ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                                    479719558                    8788449069   
1                                     40887092                   11073095234   
2                                    488911312                   31595832853   
3                                    705355833                   23572923428   
4                                    506384509                   24187175544   
5                                    254235228                   27782985142   
6                                   1704156774                   29498007149   
7                                    427780563                  260005779573   
8                                   1422154145                  133302918236   
9                                   4187690589                  151526920341   
10                                  2310866064                  164710999862   

    Tài sản lưu động khác (Tỷ đồng)  TÀI SẢN DÀI HẠN (Tỷ đồng)  \
0                                 0               681492950662   
1                                 0               691350451975   
2                                 0               703777535525   
3                                 0               730842830959   
4                                 0               758833091998   
5                                 0               788618858679   
6                                 0               820290319398   
7                                 0               852414117137   
8                                 0               207645306490   
9                         150384610               222499438006   
10                         63300000                83402016443   

    TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  Lãi chưa phân phối (Tỷ đồng)  \
0                    720208189240                 -192847946841   
1                    718250028660                 -193860856047   
2                    748639284647                 -193967247599   
3                    765371225159                 -174272911055   
4                    794883881091                 -137568628679   
5                    834318095323                 -122023472521   
6                    874711241062                  -95131643236   
7                   1171561757106                  -31496857246   
8                    460489460097                 -169750994588   
9                    431390400660                 -177237530072   
10                   372033854475                     118244881   

    Quỹ đầu tư và phát triển (Tỷ đồng)  Cổ phiếu phổ thông (Tỷ đồng)  \
0                                    0                  255138000000   
1                                    0                  255138000000   
2                                    0                  255138000000   
3                                    0                  255138000000   
4                                    0                  255138000000   
5                                    0                  255138000000   
6                                    0                  255138000000   
7                                    0                  294500000000   
8                          12625304044                  339998160531   
9                          12625304044                  339998160531   
10                          6087911293                  208856867443   

    Vốn góp của chủ sở hữu (Tỷ đồng)  Vốn và các quỹ (Tỷ đồng)  \
0                       255138000000               62290053159   
1                       255138000000               61277143953   
2                       255138000000               61170752401   
3                       255138000000               80865088945   
4                       255138000000              117569371321   
5                       255138000000              133114527479   
