    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
0  FGL  2023          178001955             1847476446   
1  FGL  2022          307817287             1758531974   
2  FGL  2021         1896598989             1926812357   
3  FGL  2020         5709744441             1991487202   
4  FGL  2019         4482685721             2019948812   
5  FGL  2018        19690894926             1885838118   
6  FGL  2017         5818982085             1847368314   
7  FGL  2016        51004753069             2260837647   
8  FGL  2015        26327975453             1872266634   
9  FGL  2014        19342277443             1335294231   

   Giá trị ròng tài sản đầu tư  Tài sản dài hạn khác  \
0                            0            1585682118   
1                            0            1902465356   
2                            0            2327742543   
3                            0            2968086631   
4                            0            3503075697   
5                            0            4102582143   
6                   1462276000            4063713966   
7                   1407276731             833785389   
8                   1407276731             826806091   
9                   1407276731            1370203010   

   Vốn Ngân sách nhà nước và quỹ khác  Vốn Ngân sách nhà nước và quỹ khác  \
0                            -4948355                            -4948355   
1                           302342475                           302342475   
2                           530239875                           530239875   
3                           530239875                           530239875   
4                           430659461                           430659461   
5                          -167946722                          -167946722   
6                           378159298                           378159298   
7                           -47785653                           -47785653   
8                            -5193414                            -5193414   
9                             7554604                             7554604   

   Vốn Ngân sách nhà nước và quỹ khác  Vốn Ngân sách nhà nước và quỹ khác  \
0                            -4948355                            -4948355   
1                           302342475                           302342475   
2                           530239875                           530239875   
3                           530239875                           530239875   
4                           430659461                           430659461   
5                          -167946722                          -167946722   
6                           378159298                           378159298   
7                           -47785653                           -47785653   
8                            -5193414                            -5193414   
9                             7554604                             7554604   

   Tài sản cố định hữu hình  Tài sản cố định vô hình  \
0              110971086659                104430085   
1              121304867613                105516637   
2              132074080237               1417986725   
3              142677846696               1431577613   
4              153867416318               1445168509   
5              154332068727               1458759405   
6              159879271008                        0   
7               38550812413                        0   
8               36786542894                        0   
9               33799482430                        0   

   Chênh lệch đánh giá lại tài sản  TÀI SẢN NGẮN HẠN (Tỷ đồng)  \
0                                0                 35404896008   
1                                0                 41766359859   
2                                0                 50976833917   
3                                0                 33343432312   
4                                0                 34528450509   
5                                0                 97238519066   
6                     133582539457                 36240211467   
7                                0                 73239706092   
8                                0                 69273689949   
9                                0                 72424119736   

   Tiền và tương đương tiền (Tỷ đồng)  Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                           676605283                            32702812324   
1                           166964709                            39533045889   
2                           504054888                            46649367683   
3                           771362754                            24870837915   
4                           916827367                            27108988609   
5                         11650358373                            64011427649   
6                         15868063289                            12705797779   
7                          8923455368                            11050660008   
8                         21689963923                            19383483939   
9                          6719164164                            45027383898   

   Trả trước cho người bán ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                                     2042637                     307817287   
1                                   103347637                     307817287   
2                                   103345000                    1896598989   
3                                           0                    7403302501   
4                                  1292000000                    4482685721   
5                                    34500000                   19690894926   
6                                   462618600                    5818982085   
7                                  3350736057                   51004753069   
8                                  2577697407                   26327975453   
9                                  1653695407                   19342277443   

