     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
0   FIC  2023       706371221562            10669416044   
1   FIC  2022       654019513598            14674036502   
2   FIC  2021       596166220000            14125861110   
3   FIC  2020       677948384846            18112978412   
4   FIC  2019      1022209573754            50466194611   
5   FIC  2018       590499078808            24672154846   
6   FIC  2017       600646258705            27355866579   
7   FIC  2016       562666804611            48664338993   
8   FIC  2015       542818036492           132636089860   
9   FIC  2014       736097072404           121726141609   
10  FIC  2013       712251769034            98279023284   

    Giá trị ròng tài sản đầu tư  Tài sản dài hạn khác  Các quỹ khác  \
0                   12142686978           92619574854             0   
1                   13651905138          100390994436             0   
2                   15161123298          106695031429             0   
3                   16773219223          112849329640             0   
4                   18418744218          119330269049             0   
5                   14344576161           63464898176             0   
6                   15462146562          239080430150             0   
7                   10478808260          188609649820             0   
8                   11036163335          271827293860      42779558   
9                   19742984090          324348569925      42779558   
10                  23871298774          235981217849         61250   

    Các quỹ khác  Các quỹ khác  Các quỹ khác  \
0    22161000000             0   22161000000   
1    22161000000             0   22161000000   
2    22161000000             0   22161000000   
3              0             0             0   
4              0             0             0   
5              0             0             0   
6              0             0             0   
7              0             0             0   
8      342886609      42779558     342886609   
9      352054945      42779558     352054945   
10             0         61250             0   

    Vốn Ngân sách nhà nước và quỹ khác  Vốn Ngân sách nhà nước và quỹ khác  \
0                                    0                                   0   
1                                    0                                   0   
2                                    0                                   0   
3                                    0                                   0   
4                                    0                                   0   
5                                    0                                   0   
6                                    0                                   0   
7                                    0                                   0   
8                                    0                                   0   
9                                    0                                   0   
10                           860647637                           860647637   

    Vốn Ngân sách nhà nước và quỹ khác  Vốn Ngân sách nhà nước và quỹ khác  \
0                                    0                                   0   
1                                    0                                   0   
2                                    0                                   0   
3                                    0                                   0   
4                                    0                                   0   
5                                    0                                   0   
6                                    0                                   0   
7                                    0                                   0   
8                                    0                                   0   
9                                    0                                   0   
10                           860647637                           860647637   

    LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ  Chứng khoán đầu tư giữ đến ngày đáo hạn  \
0                     4247685484                             141300000000   
1                     -717545792                             193800000000   
2                    -6188138360                              30000000000   
3                     5664469871                              46820000000   
4                     9040358875                                209000000   
5                    64697294137                              82131500000   
6                   500162377771                             343458333400   
7                   414701513642                                        0   
8                   358038158021                                        0   
9                   325752521789                               1004164200   
10                             0                                        0   

    Đầu tư vào công ty con  Đầu tư vào công ty liên doanh  \
0                        0                   938908437534   
1                        0                   956916638895   
2                        0                  1028747564176   
3                        0                  1051891175431   
4                        0                  1020353829504   
5               2550000000                   803073645103   
6                        0                   317252392153   
7                        0                   202347063115   
8                        0                   313760855445   
9                        0                   296833942750   
10                       0                   289141102859   

    Dự phòng giảm giá đầu tư dài hạn  Tài sản cố định hữu hình  \
0                        -3093151670              206508630771   
1                        -4175651670              237637525424   
2                        -2775672142              275103592199   
3                        -4321347049              321466147120   
4                        -2081786599              357211637032   
5                        -2251932480               92961824075   
6                         -615334789             2029312573868   
7                                  0             2190891912760   
8                       -10018799169             2247062292958   
9                       -10018799169             2367713997332   
10                      -10018799169             2522151799500   

    Tài sản cố định thuê tài chính  Tài sản cố định vô hình  \
0                       1533294907              46600027469   
1                       2516965792              48709678289   
2                       1977714928              50778799249   
3                       1080396348              52875930671   
4                       1751663929              54880238760   
5                                0               4938461788   
6                       1936755797              53195173453   
7                       4110250668              69926274924   
8                       7481497368              66089875957   
9                       9588058076              63802133546   
10                     12350806644              67764189408   

    Chênh lệch tỷ giá hối đoái  Chênh lệch đánh giá lại tài sản  \
0                            0                    -221823855880   
1                            0                    -221823855880   
2                            0                    -221823855880   
3                            0                    -221360374488   
4                            0                    -221360374488   
5                            0                    -136331116670   
6                            0                    -211801334149   
7                            0                    -216880311951   
8                            0                                0   
9                 -28659838181                                0   
10                -49304049225                                0   

    TÀI SẢN NGẮN HẠN (Tỷ đồng)  Tiền và tương đương tiền (Tỷ đồng)  \
0                1314147406150                        206505394155   
1                1236495469379                         92098376931   
2                1165141588932                        213004880520   
3                1419413685421                        282576886376   
4                1766883482076                        155130659282   
5                2037754979184                        184101614749   
6                2280786544316                        416595245926   
7                2087866426431                        511015748305   
8                1823637584628                        274106294051   
9                1963997904076                        138155508420   
10               1895100858374                        189859338407   

    Giá trị thuần đầu tư ngắn hạn (Tỷ đồng)  \
0                              148163600000   
1                              201840047972   
2                               41427575701   
3                               58247575701   
4                                9818040000   
5                              100187912000   
6                              343458333400   
7                                         0   
8                                         0   
9                                1004164200   
10                               9196597470   

    Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                            242437774389   
1                            273863494376   
2                            300417051601   
3                            382527860086   
4                            529259014429   
5                           1138294218781   
6                            892730839706   
7                            965519534522   
8                            874077164225   
9                            967015017443   
10                           885514130179   

    Trả trước cho người bán ngắn hạn (Tỷ đồng)  \
0                                   8417365951   
1                                  12731121977   
2                                   8694246059   
3                                  10383611211   
4                                  25139343731   
5                                 242066935469   
6                                  64447030635   
7                                 103375699642   
8                                  80989161126   
9                                  52810413570   
10                                 86433333030   

    Phải thu về cho vay ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                                        0                  731413476885   
1                                        0                  677629994374   
2                                        0                  616865946734   
3                                        0                  698222523051   
4                                        0                 1039797286262   
5                               9054000000                  606420982541   
6                               9054000000                  606678893624   
7                             119093097470                  562666804611   
8                               9151097470                  542897950765   
9                               9163097470                  736194254931   
10                                       0                  712348951561   

    Tài sản lưu động khác (Tỷ đồng)  TÀI SẢN DÀI HẠN (Tỷ đồng)  \
0                                 0              1421407291274   
1                                 0              1477950159021   
2                                 0              1599697372899   
3                                 0              1686272552442   
4                                 0              1707926270325   
5                                 0              1330001459220   
6                                 0              3076753641671   
7                                 0              3093436834535   
8                           1000000              3285193054573   
9                                 0              3435005592535   
10                      28151434643              3236482502624   

    TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  Lãi chưa phân phối (Tỷ đồng)  \
0                   2735554697424                  491160859690   
1                   2714445628400                  543552685817   
2                   2764838961831                  516589516144   
3                   3105686237863                  422741958799   
4                   3474809752401                  368012226960   
5                   3367756438404                  201797057917   
6                   5357540185987                  385041032188   
7                   5181303260966                  175761400211   
8                   5108830639201                  109918987942   
9                   5399003496611                  117769460349   
10                  5131583360998                  104068138094   

    Quỹ đầu tư và phát triển (Tỷ đồng)  Cổ phiếu phổ thông (Tỷ đồng)  \
0                          26037074376                 1270000000000   
1                          16538753350                 1270000000000   
2                          12620203451                 1270000000000   
3                          22465690203                 1270000000000   
4                          19526405695                 1270000000000   
5                          11893072277                 1270000000000   
6                         117217827442                 1270000000000   
7                          49529492595                 1270000000000   
8                         175202645418                  806829390404   
9                         148838158567                  808602390404   
10                        106315647593                  809321803670   

