     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
0   GER  2023        15243213154             1370325553             775677361   
1   GER  2022        12348956861              640470596             554620050   
2   GER  2021        12503244159              654093208            2959505901   
3   GER  2020        13213836646              873178802            2807723756   
4   GER  2019        15480023056             3533215281             874673526   
5   GER  2018        14995016185             4036609535             388465555   
6   GER  2017        16199353491             4733790038             369213443   
7   GER  2016        16519354738             4577198203             763156944   
8   GER  2015        15918965634             3838984419             742514862   
9   GER  2014        13567342643              672205738              41828918   
10  GER  2013        11817922558              939011075             437690165   

    Tài sản cố định hữu hình  Tài sản cố định vô hình  \
0                 2549512976                        0   
1                 3092632544                        0   
2                 3849663130                        0   
3                 4700862995                        0   
4                 5631794615                        0   
5                 6707601399                        0   
6                 7937781436                        0   
7                 9380687577                 12000000   
8                 7337634967                 24000000   
9                 7073480278                 60939456   
10                8628270697                100878744   

    TÀI SẢN NGẮN HẠN (Tỷ đồng)  Tiền và tương đương tiền (Tỷ đồng)  \
0                  33225396481                          4557859564   
1                  34422278652                          7580654861   
2                  34907827880                          3994344461   
3                  32005545965                          2500284055   
4                  39771905151                          5304404585   
5                  36335941232                          1567067629   
6                  41050167260                          1750119309   
7                  39794679893                          3048935740   
8                  41107452231                          4157700418   
9                  38163356265                          1932518097   
10                 34762020175                          3212547815   

    Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                             12053998210   
1                             13852196334   
2                             17756146052   
3                             15418246462   
4                             15454262229   
5                             15737247883   
6                             18366904422   
7                             15649191212   
8                             17191801760   
9                             21991289787   
10                            18792538727   

    Trả trước cho người bán ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                                    238705000                   15243213154   
1                                    695948986                   12348956861   
2                                    548167300                   12503244159   
3                                    186368798                   13213836646   
4                                    333557815                   15480023056   
5                                    916440500                   14995016185   
6                                     69543700                   16199353491   
7                                    223540907                   16519354738   
8                                    490706200                   15918965634   
9                                   1366309486                   13567342643   
10                                   772026270                   11817922558   

    Tài sản lưu động khác (Tỷ đồng)  TÀI SẢN DÀI HẠN (Tỷ đồng)  \
0                                 0                 3325190337   
1                                 0                 3647252594   
2                                 0                 6814169031   
3                                 0                 7513586751   
4                                 0                 6506468141   
5                                 0                 7096066954   
6                                 0                 8306994879   
7                                 0                10155844521   
8                                 0                 8104149829   
9                          11000000                 7176248652   
10                        126137089                 9166839606   

    TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  Lãi chưa phân phối (Tỷ đồng)  \
0                     36550586818                    1318602263   
1                     38069531246                    3960426983   
2                     41721996911                     850408020   
3                     39519132716                     410729537   
4                     46278373292                     992937532   
5                     43432008186                      35362060   
6                     49357162139                     232998239   
7                     49950524414                    2453849727   
8                     49211602060                    1320000000   
9                     45339604917                             0   
10                    43928859781                    1593790881   

    Quỹ đầu tư và phát triển (Tỷ đồng)  Cổ phiếu phổ thông (Tỷ đồng)  \
0                           2294591369                   22000000000   
1                           2294591369                   22000000000   
2                           2294591369                   22000000000   
3                           2294591369                   22000000000   
4                           2294591369                   22000000000   
5                           2294591369                   22000000000   
6                           2294591369                   22000000000   
7                           2294591369                   22000000000   
8                           2294591369                   22000000000   
9                           1797982592                   22000000000   
10                          1935450441                   22000000000   

    Vốn góp của chủ sở hữu (Tỷ đồng)  Vốn và các quỹ (Tỷ đồng)  \
0                        22000000000               25613193632   
1                        22000000000               28255018352   
2                        22000000000               25144999389   
3                        22000000000               24705320906   
4                        22000000000               25287528901   
5                        22000000000               24329953429   
6                        22000000000               24527589608   
7                        22000000000               26748441096   
8                        22000000000               25614591369   
9                        22000000000               24294591369   
10                       22000000000               26025850099   

    VỐN CHỦ SỞ HỮU (Tỷ đồng)  Vay và nợ thuê tài chính dài hạn (Tỷ đồng)  \
0                25613193632                                           0   
1                28255018352                                           0   
2                25144999389                                           0   
3                24705320906                                           0   
4                25287528901                                           0   
5                24329953429                                           0   
6                24527589608                                           0   
7                26748441096                                           0   
8                25614591369                                           0   
9                24294591369                                           0   
10               26025850099                                   529170000   

    Nợ dài hạn (Tỷ đồng)  Người mua trả tiền trước ngắn hạn (Tỷ đồng)  \
0                      0                                    409007615   
1                      0                                            0   
2                      0                                            0   
3                      0                                            0   
4                      0                                     88708709   
5                      0                                    404619430   
6                      0                                    238453466   
7                      0                                     34980000   
8                      0                                    364249245   
9                      0                                            0   
10             529170000                                      6069792   

    Vay và nợ thuê tài chính ngắn hạn (Tỷ đồng)  Nợ ngắn hạn (Tỷ đồng)  \
0                                    3500000000            10937393186   
1                                    2840000000             9814512894   
2                                    7445294212            16576997522   
3                                    7900000000            14813811810   
4                                   10880000000            20990844391   
5                                    9406000000            19102054757   
6                                   15750000000            24829572531   
7                                   15965000000            23202083318   
8                                   13500000000            23597010691   
9                                   12311000000            21045013548   
10                                  13800000000            17373839682   

    NỢ PHẢI TRẢ (Tỷ đồng)  TỔNG CỘNG TÀI SẢN (Tỷ đồng)  \
0             10937393186                  36550586818   
1              9814512894                  38069531246   
2             16576997522                  41721996911   
3             14813811810                  39519132716   
4             20990844391                  46278373292   
5             19102054757                  43432008186   
6             24829572531                  49357162139   
7             23202083318                  49950524414   
8             23597010691                  49211602060   
9             21045013548                  45339604917   
10            17903009682                  43928859781   

    Trả trước dài hạn (Tỷ đồng)  Tài sản cố định (Tỷ đồng)  \
0                     775677361                 2549512976   
1                     554620050                 3092632544   
2                    2959505901                 3849663130   
3                    2807723756                 4700862995   
4                     874673526                 5631794615   
5                     388465555                 6707601399   
6                     369213443                 7937781436   
7                     763156944                 9392687577   
8                     742514862                 7361634967   
9                      41828918                 7134419734   
10                    437690165                 8729149441   

    Phải thu dài hạn khác (Tỷ đồng)  Phải thu dài hạn (Tỷ đồng)  
0                                 0                           0  
1                                 0                           0  
2                           5000000                     5000000  
3                           5000000                     5000000  
4                                 0                           0  
5                                 0                           0  
6                                 0                           0  
7                                 0                           0  
8                                 0                           0  
9                                 0                           0  
10                                0                           0  
     CP   Năm  Tăng trưởng doanh thu (%)  Doanh thu (Tỷ đồng)  \
0   GER  2023                  -0.062605          85533095872   
1   GER  2022                   0.220759          91245506738   
2   GER  2021                   0.062578          74744892407   
3   GER  2020                  -0.093720          70342979232   
4   GER  2019                   0.023046          77617241297   
5   GER  2018                   0.108970          75868782262   
6   GER  2017                  -0.011100          68413739917   
7   GER  2016                  -0.112502          69181643905   
8   GER  2015                  -0.088065          77951292191   
9   GER  2014                  -0.012408          85479013623   
10  GER  2013                   0.000000          86552953238   

    Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng)  \
0                                          1318602263     
1                                          3960426983     
2                                           850408020     
3                                           410729537     
4                                           992937532     
5                                            35362060     
6                                           232998239     
7                                          2453849727     
8                                          2243111311     
9                                          1937807510     
10                                         1635811310     

    Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                   -0.667056           319167943           319167943   
1                    3.657090           265154854           265154854   
2                    1.070482             1918642             1918642   
3                   -0.586349             1340994             1340994   
4                   27.079177            17399667            17399667   
5                   -0.848230           179732638           179732638   
6                   -0.905048             3656538             3656538   
7                    0.093949           203413549           203413549   
8                    0.157551           611270686           611270686   
9                    0.184616           163533129           163533129   
10                   0.000000           200020512           200020512   

    Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0             -378419177            -378419177      81264508968   
1             -512170421            -512170421      87536338436   
2             -764106794            -764106794      72289682493   
3             -782626412            -782626412      66748562552   
4             -871611146            -871611146      72523289818   
5            -1257758083           -1257758083      72365553403   
6            -1435485394           -1435485394      65030096956   
7            -1273029326           -1273029326      65879689988   
8            -1244964443           -1244964443      74248301613   
9            -1071829886           -1071829886      81598061489   
10            -936670723            -936670723      83785673942   

    Doanh thu thuần      Lãi gộp      Lãi gộp  Chi phí tài chính  \
0       81264508968  16799265365  16799265365         -378419177   
1       87536338436  18436461528  18436461528         -530937244   
2       72289682493  14401284961  14401284961         -864597074   
3       66748562552  14535007946  14535007946         -834901573   
4       72523289818  17007850137  17007850137         -884964124   
5       72365553403  14078800419  14078800419        -1257758083   
6       65030096956  13336565617  13336565617        -1465349287   
7       65879689988  16187036063  16187036063        -1329374949   
8       74248301613  16694206730  16694206730        -1256815876   
9       81598061489  17273861631  17273861631        -1098357256   
10      83785673942  16213485697  16213485697         -993049953   

    Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0          -378419177        -10562819828        -10562819828   
1          -530937244        -12208430566        -12208430566   
2          -864597074         -7827781474         -7827781474   
3          -834901573         -7963110122         -7963110122   
4          -884964124         -8896196659         -8896196659   
5         -1257758083         -7724152175         -7724152175   
6         -1465349287         -7229961723         -7229961723   
7         -1329374949         -8052809729         -8052809729   
8         -1256815876         -8841931541         -8841931541   
9         -1098357256         -8429032211         -8429032211   
10         -993049953         -8123665758         -8123665758   

    Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                       1790118973                      1790118973   
1                       1163929111                      1163929111   
2                       1315782110                      1315782110   
3                       1069732136                      1069732136   
4                       1266235251                      1266235251   
5                         14866563                        14866563   
6                        307736246                       307736246   
7                       3056777724                      3056777724   
8                       2899665814                      2899665814   
9                       2799339110                      2799339110   
10                      2301117624                      2301117624   

    Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0               -68700692      -64465243603       -4387075330   
1             -2409069588      -69099876908       -4798319461   
2              -123811249      -57888397532       -4395042945   
3              -457686820      -52213554606       -4668605109   
4                       0      -55515439681       -5977853770   
5                       0      -58286752984       -5261756236   
6                       0      -51693531339       -4337174899   
