     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
0   HDP  2023        68683455465             1605408706            7488044591   
1   HDP  2022        77577873560             1231752995            7893262261   
2   HDP  2021        77328371001              679276162            6248668954   
3   HDP  2020        55711479852             2388078809            4734797765   
4   HDP  2019        48659891260              182634040            7285348995   
5   HDP  2018        66287623444             1820685063            7996527087   
6   HDP  2017        57830175203              260090865            9186259719   
7   HDP  2016        54964673036             1506244197            6625683995   
8   HDP  2015        50912942294              319587767            7319947354   
9   HDP  2014        46171607748             2389024801            9730645764   
10  HDP  2013        51157893361             4298763589            1570910783   

    Vốn Ngân sách nhà nước và quỹ khác  Vốn Ngân sách nhà nước và quỹ khác  \
0                            340656544                                   0   
1                            396395182                                   0   
2                            452133820                                   0   
3                            507872463                                   0   
4                            563611107                                   0   
5                            885364179                          -207864997   
6                            941102811                          -207864997   
7                            996841443                          -207864997   
8                                    0                                   0   
9                                    0                                   0   
10                                   0                                   0   

    Vốn Ngân sách nhà nước và quỹ khác  Vốn Ngân sách nhà nước và quỹ khác  \
0                            340656544                                   0   
1                            396395182                                   0   
2                            452133820                                   0   
3                            507872463                                   0   
4                            563611107                                   0   
5                            885364179                          -207864997   
6                            941102811                          -207864997   
7                            996841443                          -207864997   
8                                    0                                   0   
9                                    0                                   0   
10                                   0                                   0   

    Tài sản cố định hữu hình  Tài sản cố định thuê tài chính  \
0                81401793239                               0   
1                84782096824                               0   
2                73629775167                               0   
3                71921500870                               0   
4                75484675834                     11731600000   
5                63644448795                               0   
6                73126626037                               0   
7                81484164150                               0   
8                81893770660                               0   
9                70355403697                               0   
10               35653939830                               0   

    Tài sản cố định vô hình  TÀI SẢN NGẮN HẠN (Tỷ đồng)  \
0               25559299644                148546031031   
1               25979595330                167510112494   
2               19473799995                145481501004   
3                6444041199                133604302714   
4                         0                120713210013   
5                1375974991                142335765456   
6                1418474995                144593016653   
7                1460974999                144768625280   
8                1301600000                120576771099   
9                1301600000                110660337832   
10               7274700311                107422625910   

    Tiền và tương đương tiền (Tỷ đồng)  Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                           4154823251                            74102343609   
1                          10961907267                            77738578672   
2                           4924072358                            62549781483   
3                           3401781174                            72102962879   
4                           9819864250                            62050820463   
5                           3767934407                            70459522542   
6                           7006768296                            79495982289   
7                          10816725381                            77480982666   
8                          10396721977                            58947519061   
9                          12966930112                            49132775171   
10                          3931756141                            48034212819   

    Trả trước cho người bán ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                                   6692816074                   68683455465   
1                                   3643833751                   77577873560   
2                                   2307213987                   77328371001   
3                                   3784574532                   55711479852   
4                                   4224778424                   48659891260   
5                                  16328246490                   66287623444   
6                                  11842159090                   57830175203   
7                                   2280564353                   54964673036   
8                                   1416001115                   50912942294   
9                                   1013413784                   46171607748   
10                                  4235352125                   51157893361   

    Tài sản lưu động khác (Tỷ đồng)  TÀI SẢN DÀI HẠN (Tỷ đồng)  \
0                                 0               117074968198   
1                                 0               118764045324   
2                                 0               101407116745   
3                                 0                98497753362   
4                                 0                98407489907   
5                                 0                84381595553   
6                                 0                83879360751   
7                                 0                89750640962   
8                                 0                92541428954   
9                        1077382933                96436124228   
10                        958423624                85067969678   

    TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  Lãi chưa phân phối (Tỷ đồng)  \
0                    265620999229                   12774125549   
1                    286274157818                   17191114016   
2                    246888617749                    9803004958   
3                    232102056076                    7488652097   
4                    219120699920                    9018009805   
5                    226717361009                    7982207599   
6                    228472377404                    8400306619   
7                    234519266242                    8051513445   
8                    213118200053                    7429763470   
9                    207096462060                    5346674184   
10                   192490595588                    4036751420   

    Quỹ đầu tư và phát triển (Tỷ đồng)  Cổ phiếu phổ thông (Tỷ đồng)  \
0                          11590810784                   99344180000   
1                          11590810784                   99344180000   
2                          11590810784                   94614180000   
3                          11590810784                   90114180000   
4                          11590810784                   81923250000   
5                          11590810784                   70931200000   
6                          10090810784                   61438100000   
7                           8590810784                   58513100000   
8                           7590810784                   58513100000   
9                           5575212342                   58513100000   
10                          5575212312                   58513100000   

    Vốn góp của chủ sở hữu (Tỷ đồng)  Vốn và các quỹ (Tỷ đồng)  \
0                        99344180000              125932716333   
1                        99344180000              130349704800   
2                        94614180000              118231595742   
3                        90114180000              111417242881   
4                        81923250000              104755670589   
5                        70931200000               92727818383   
6                        61438100000               82152817403   
7                        58513100000               77379024229   
8                        58513100000               75757274254   
9                        58513100000               73174184968   
10                       58513100000               71864262174   

    VỐN CHỦ SỞ HỮU (Tỷ đồng)  Vay và nợ thuê tài chính dài hạn (Tỷ đồng)  \
0               126273372877                                  7561499274   
1               130746099982                                 19974597664   
2               118683729562                                  9507767117   
3               111925115344                                  9804951117   
4               105319281696                                 16036576117   
5                93613182562                                 11187197000   
6                83093920214                                 29186522674   
7                78375865672                                 39717782674   
8                75757274254                                 45611309340   
9                73174184968                                 49850453117   
10               71864262174                                 34454833127   

    Nợ dài hạn (Tỷ đồng)  Người mua trả tiền trước ngắn hạn (Tỷ đồng)  \
0             7973053490                                   1465327883   
1            20417151880                                   1382841558   
2             9970321333                                   7554515823   
3            10308047307                                   3221339514   
4            16305518214                                   3678385702   
5            11815070734                                   3681310005   
6            29496638908                                  10746085977   
7            40874843708                                    310729128   
8            47119277063                                    841227818   
9            50877254419                                    114273639   
10           35461634429                                    668446067   

    Vay và nợ thuê tài chính ngắn hạn (Tỷ đồng)  Nợ ngắn hạn (Tỷ đồng)  \
0                                   44500410041           131374572862   
1                                   35131654705           135110905956   
2                                   36510732691           118234566854   
3                                   38020353113           109868893425   
4                                   35573636147            97495900010   
5                                   50963204174           121289107713   
6                                   38257495283           115881818282   
7                                   48417722026           115268556862   
8                                   31813431163            90241648736   
9                                   36487136368            83045022673   
10                                  34040822238            85164698985   

