    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
0  HEP  2023         3335815934             2266477573            2379467199   
1  HEP  2022         2720995117             1668421878            1628943974   
2  HEP  2021         2168555218             1208223282            4355809499   
3  HEP  2020         2335035443                2944000            1509776897   
4  HEP  2019         1743957786               70370991            2120519231   
5  HEP  2018         1848390409               33990000            1551650294   
6  HEP  2017         4822723051               36432850            1241432361   
7  HEP  2016         4997779469               43403830            1192434753   
8  HEP  2015         4109252447             1583771313              87687996   

   Các quỹ khác  Các quỹ khác  Vốn Ngân sách nhà nước và quỹ khác  \
0             0             0                        479735445202   
1             0             0                        472489663333   
2             0             0                        488892472848   
3             0             0                        504975400897   
4             0             0                        519774276143   
5    8772664134    8772664134                        476889553189   
6    8073948434    8073948434                        508677671167   
7   12832637483   12832637483                        520211462055   
8   13419554323   13419554323                        202050500377   

   Vốn Ngân sách nhà nước và quỹ khác  Tài sản cố định hữu hình  \
0                        479735445202              504758327725   
1                        472489663333              500106696195   
2                        488892472848              509004093960   
3                        504975400897              524960977917   
4                        519774276143              537149624660   
5                        476889553189              499035100656   
6                        508677671167              539135014857   
7                        520211462055              561390420977   
8                        202050500377              251028793958   

   Tài sản cố định vô hình  TÀI SẢN NGẮN HẠN (Tỷ đồng)  \
0                        0                 84841186324   
1                        0                108929368015   
2                  7004575                142092940959   
3                 24035251                157354190901   
4                 41065927                124291863109   
5                 58096603                 86730181534   
6                        0                 94202924858   
7                        0                 99461535938   
8                        0                 88933217529   

   Tiền và tương đương tiền (Tỷ đồng)  Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                         33579187145                            45659705672   
1                         49377236208                            55162714812   
2                         87917300352                            50798862107   
3                        110012095332                            45004116126   
4                         91997818831                            30479715501   
5                         55189114608                            29658686517   
6                         52716886925                            36626882032   
7                         59053022685                            35367329954   
8                         55186931161                            28053262608   

   Trả trước cho người bán ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                                   839031000                    3335815934   
1                                  1046200000                    2720995117   
2                                  1187000000                    2168555218   
3                                   187210000                    2335035443   
4                                   403809500                    1743957786   
5                                   556909500                    1848390409   
6                                   285772500                    4822723051   
7                                   302712500                    4997779469   
8                                   588000000                    4109252447   

   TÀI SẢN DÀI HẠN (Tỷ đồng)  TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  \
0               521609602113                   606450788437   
1               514988700020                   623918068035   
2               526224321894                   668317262853   
3               532376635504                   689730826405   
4               539311209818                   663603072927   
5               500651847553                   587382029087   
6               540376447218                   634579372076   
7               569034964241                   668496500179   
8               259440804465                   348374021994   

   Lãi chưa phân phối (Tỷ đồng)  Quỹ đầu tư và phát triển (Tỷ đồng)  \
0                   11435649116                          8190254626   
1                   11177563718                          5889479882   
2                   10256774547                          3781499999   
3                    9669211480                          1784173303   
4                    6858620764                          1071938227   
5                    5034197006                           808125221   
6                    4134489414                           590028719   
7                    3699988542                           393920000   
8                    3730709082                                   0   

   Cổ phiếu phổ thông (Tỷ đồng)  Vốn góp của chủ sở hữu (Tỷ đồng)  \
0                   60000000000                       60000000000   
1                   60000000000                       60000000000   
2                   60000000000                       60000000000   
3                   60000000000                       60000000000   
4                   60000000000                       60000000000   
5                   60000000000                       60000000000   
6                   60000000000                       60000000000   
7                   60000000000                       60000000000   
8                   60000000000                       60000000000   

   Vốn và các quỹ (Tỷ đồng)  VỐN CHỦ SỞ HỮU (Tỷ đồng)  \
0               91922913667              571658358869   
1               92957428742              565447092075   
2               97962419308              586854892156   
3               94202400840              599177801737   
4               89303938172              609078214315   
5               74614986361              551504539550   
6               72798466567              581476137734   
7               76926546025              597138008080   
8               77150263405              279200763782   

   Vay và nợ thuê tài chính dài hạn (Tỷ đồng)  Nợ dài hạn (Tỷ đồng)  \
0                                           0                     0   
1                                           0                     0   
2                                           0                     0   
3                                           0                     0   
4                                           0             192305000   
5                                  6916392522            6916392522   
6                                 13832785042           13832785042   
7                                 20749177562           20749177562   
8                                 27665570082           27665570082   

   Người mua trả tiền trước ngắn hạn (Tỷ đồng)  Nợ ngắn hạn (Tỷ đồng)  \
0                                  11194996990            34792429568   
1                                   7354696147            58470975960   
2                                  13081705320            81462370697   
3                                  13928410500            90553024668   
4                                   5535893000            54332553612   
5                                   3068632500            28961097015   
6                                   7192178000            39270449300   
7                                   6636736000            50609314537   
8                                   7389916000            41507688130   

   NỢ PHẢI TRẢ (Tỷ đồng)  TỔNG CỘNG TÀI SẢN (Tỷ đồng)  \
0            34792429568                 606450788437   
1            58470975960                 623918068035   
2            81462370697                 668317262853   
3            90553024668                 689730826405   
4            54524858612                 663603072927   
5            35877489537                 587382029087   
6            53103234342                 634579372076   
7            71358492099                 668496500179   
8            69173258212                 348374021994   

   Trả trước dài hạn (Tỷ đồng)  Tài sản cố định (Tỷ đồng)  
0                   2368168219               504758327725  
1                   1617644994               500106696195  
2                   4344510519               509011098535  
3                   1498477917               524985013168  
4                   2109220251               537190690587  
5                   1540351314               499093197259  
6                   1024388805               539135014857  
7                   1075900681               561390420977  
8                     87687996               251028793958  
    CP   Năm  Tăng trưởng doanh thu (%)  Doanh thu (Tỷ đồng)  \
0  HEP  2023                  -0.156326         292879371500   
1  HEP  2022                   0.066949         347147635617   
2  HEP  2021                   0.153795         325364673460   
3  HEP  2020                   0.158771         281995256047   
4  HEP  2019                   0.016447         243357262592   
5  HEP  2018                   0.105795         239419568054   
6  HEP  2017                   0.109263         216513559234   
7  HEP  2016                   0.165119         195186861600   
8  HEP  2015                   0.000000         167525290324   

   Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng)  \
0                                        12474549116     
1                                        11503873718     
2                                        10545685547     
3                                         9986633480     
4                                         7122350764     
5                                         5272721006     
6                                         4360819414     
7                                         3921660542     
8                                         3939204082     

   Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                   0.084378           973334828           973334828   
1                   0.090861          1621932680          1621932680   
2                   0.055980          1767579168          1767579168   
3                   0.402154          2570981904          2570981904   
4                   0.350792          2005413919          2005413919   
5                   0.209112          2496301130          2496301130   
6                   0.111983          2125707935          2125707935   
7                  -0.004454          1721657724          1721657724   
8                   0.000000          1433554136          1433554136   

   Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0                     0                     0     292877978220   
1                     0                     0     347145492897   
2                     0                     0     325364314740   
3                     0                     0     281993336047   
4           -1758533909           -1758533909     243356982592   
5           -2429555782           -2429555782     239418864554   
6           -2813069747           -2813069747     216476388325   
7           -3191050600           -3191050600     194308393167   
8           -1475808049           -1475808049     166773136808   

   Doanh thu thuần      Lãi gộp      Lãi gộp  Chi phí tài chính  \
0     292877978220  44407873694  44407873694                  0   
1     347145492897  47318479092  47318479092                  0   
2     325364314740  42382881249  42382881249                  0   
3     281993336047  40581407708  40581407708            -319000   
4     243356982592  39939962457  39939962457        -1758533909   
5     239418864554  33832059358  33832059358        -2429720683   
6     216476388325  30393720249  30393720249        -2813069747   
7     194308393167  29648885247  29648885247        -3191050600   
8     166773136808  27074491027  27074491027        -1484738946   

   Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0                  0        -30711049390        -30711049390   
1                  0        -33897022771        -33897022771   
2                  0        -31642377372        -31642377372   
3            -319000        -31384705614        -31384705614   
4        -1758533909        -31800675944        -31800675944   
5        -2429720683        -27528861814        -27528861814   
6        -2813069747        -24020783422        -24020783422   
7        -3191050600        -23108394786        -23108394786   
8        -1484738946        -22383090389        -22383090389   

