    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
0  HPT  2023        41929091163             6189631065           23399389399   
1  HPT  2022        64470458312              995861394           27148883316   
2  HPT  2021        50826355532              832122514           17771779526   
3  HPT  2019        44206393368             2064260636            3188920866   
4  HPT  2018        22858399679             1331013475            3318227851   
5  HPT  2017        51623385282             1049220423            3130767713   
6  HPT  2016        82202936460             1054914669            1401364440   
7  HPT  2015        47047918041             1200885782            2345429554   
8  HPT  2014        40262751667             1764980280            3863066338   
9  HPT  2013        52099724974             4973141599            6188821866   

   Đầu tư vào công ty con  Đầu tư vào công ty liên doanh  \
0                       0                              0   
1                       0                              0   
2                       0                              0   
3                       0                              0   
4                       0                              0   
5                       0                              0   
6              8076364576                     5017500000   
7              5733364576                     4800000000   
8              4026364576                     4800000000   
9              2425127162                     4800000000   

   Dự phòng giảm giá đầu tư dài hạn  Tài sản cố định hữu hình  \
0                                 0               22653947924   
1                                 0               25861236434   
2                                 0               26482616446   
3                                 0                8821663709   
4                                 0                 656358833   
5                                 0                1274975180   
6                       -1191441383                2135682397   
7                                 0                2459444825   
8                                 0                2783625359   
9                                 0                2805607115   

   Tài sản cố định vô hình  TÀI SẢN NGẮN HẠN (Tỷ đồng)  \
0                450907383                347718199429   
1                920662041                313875227208   
2                268590327                251478561298   
3                 11305000                374419702065   
4                 24871000                295806973612   
5                 38437000                385619672962   
6                        0                369351177394   
7                 56750772                346951638724   
8                223079945                446264914612   
9                400075949                421997061813   

   Tiền và tương đương tiền (Tỷ đồng)  Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                         21895265499                           277704211702   
1                          7274919184                           241133988318   
2                         27568054523                           172252028729   
3                         33064793825                           295084254236   
4                         37839985405                           233777575053   
5                         14595040001                           318352027256   
6                         31072710541                           255020615724   
7                         14281993654                           284420841247   
8                         68442502418                           335794680247   
9                         37153833986                           327770361254   

   Trả trước cho người bán ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                                 17426626882                   41929091163   
1                                 18332984323                   64470458312   
2                                 13337869264                   50826355532   
3                                 14691698641                   44206393368   
4                                 14684679510                   22858399679   
5                                 27443364459                   51623385282   
6                                  7279682358                   82202936460   
7                                 18088033888                   47047918041   
8                                 16747384371                   40262751667   
9                                 37175149936                   52099724974   

   Tài sản lưu động khác (Tỷ đồng)  TÀI SẢN DÀI HẠN (Tỷ đồng)  \
0                                0                52355979006   
1                                0                60332468091   
2                                0                46134992199   
3                                0                38486326508   
4                                0                19357127962   
5                                0                17296201465   
6                                0                20549645671   
7                                0                19314810235   
8                        551265590                18580596218   
9                       3119048450                19504092092   

   TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  Lãi chưa phân phối (Tỷ đồng)  \
0                   400074178435                   44002916655   
1                   374207695299                   30960393084   
2                   297613553497                   28860846790   
3                   412906028573                   25605616287   
4                   315164101574                   21012544055   
5                   402915874427                   17592927653   
6                   389900823065                   20943545540   
7                   366266448959                   16498306042   
8                   464845510830                   18090675659   
9                   441501153905                   17139298852   

   Quỹ đầu tư và phát triển (Tỷ đồng)  Cổ phiếu phổ thông (Tỷ đồng)  \
0                          8647659402                  100659600000   
1                          8448164741                   90841010000   
2                          7550034110                   82726050000   
3                          6558860671                   75348880000   
4                          5845913514                   75348880000   
5                          5269230391                   75348880000   
6                          4800800801                   68642010000   
7                          4486984441                   68642010000   
8                           753240000                   68642010000   
9                           753240000                   68642010000   

   Vốn góp của chủ sở hữu (Tỷ đồng)  Vốn và các quỹ (Tỷ đồng)  \
0                      100659600000              151294396037   
1                       90841010000              128233787805   
2                       82726050000              117121150880   
3                       75348880000              105497576938   
4                       75348880000              100191557549   
5                       75348880000               96195258024   
6                       68642010000               92370576321   
7                       68642010000               87611520463   
8                       68642010000               88878115141   
9                       68642010000               87714797243   

   VỐN CHỦ SỞ HỮU (Tỷ đồng)  Vay và nợ thuê tài chính dài hạn (Tỷ đồng)  \
0              151294396037                                   274684657   
1              128233787805                                   844819813   
2              117121150880                                   825896403   
3              105497576938                                  7165043363   
4              100191557549                                  2673800000   
5               96195258024                                  1500000000   
6               92370576321                                           0   
7               87611520463                                   346500000   
8               88878115141                                   348000000   
9               87714797243                                           0   

   Nợ dài hạn (Tỷ đồng)  Người mua trả tiền trước ngắn hạn (Tỷ đồng)  \
0             274684657                                  20571597183   
1             844819813                                  38365327807   
2             825896403                                  20884912005   
3            7165043363                                   9882680919   
4            2673800000                                  10963140970   
5            1500000000                                  17153567421   
6                     0                                  33277067162   
7             346500000                                  15926318557   
8             348000000                                   6745226368   
9                     0                                   5932498491   

   Vay và nợ thuê tài chính ngắn hạn (Tỷ đồng)  Nợ ngắn hạn (Tỷ đồng)  \
0                                  26068272823           248505097741   
1                                  20996523017           245129087681   
2                                   1257114222           179666506214   
3                                  82531904005           300243408272   
4                                  91041372237           212298744025   
5                                 104731774718           305220616403   
6                                  82749916789           297530246744   
7                                 131317671452           278308428496   
8                                 186431130587           375619395689   
9                                 178050551303           353786356662   

   NỢ PHẢI TRẢ (Tỷ đồng)  TỔNG CỘNG TÀI SẢN (Tỷ đồng)  \
0           248779782398                 400074178435   
1           245973907494                 374207695299   
2           180492402617                 297613553497   
3           307408451635                 412906028573   
4           214972544025                 315164101574   
5           306720616403                 402915874427   
6           297530246744                 389900823065   
7           278654928496                 366266448959   
8           375967395689                 464845510830   
9           353786356662                 441501153905   

   Trả trước dài hạn (Tỷ đồng)  Tài sản dài hạn khác (Tỷ đồng)  \
0                  22954554512                      5154330000   
1                  27148883316                      5154330000   
2                  17771779526                       654330000   
3                   3188920866                       654330000   
4                   3318227851                       654330000   
5                   3130767713                      2524400000   
6                   1401364440                      2884460000   
7                   2345429554                      2884460000   
8                   2819701290                      2884460000   
9                   5277795068                      2884460000   

   Đầu tư dài hạn (Tỷ đồng)  Tài sản cố định (Tỷ đồng)  \
0                5154330000                23104855307   
1                5154330000                26781898475   
2                 654330000                26751206773   
3                 654330000                 8832968709   
4                 654330000                  681229833   
5                2524400000                 1313412180   
6               14786883193                 2135682397   
7               13417824576                 2516195597   
8               11710824576                 3006705304   
9               10109587162                 3205683064   

   Phải thu dài hạn khác (Tỷ đồng)  Phải thu dài hạn (Tỷ đồng)  
0                        697404300                   697404300  
1                        757356300                   757356300  
2                        957675900                   957675900  
3                       1203051700                  1203051700  
4                       1752523693                  1752523693  
5                       1500043668                  1500043668  
6                       2225715641                  2225715641  
7                       1035360508                  1035360508  
8                                0                           0  
9                                0                           0  
    CP   Năm  Lãi/Lỗ ròng trước thuế  Tăng trưởng doanh thu (%)  \
0  HPT  2023             28584226786                  -0.013541   
1  HPT  2022             26534280972                   0.451943   
2  HPT  2021             24679021067                  -0.029611   
