    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
0  HSI  2022        86023756292             2156553218   
1  HSI  2021        87699301503             2201045910   
2  HSI  2020        72000464595             2434707488   
3  HSI  2019        71455211378             4756448497   
4  HSI  2018        63214357098             2440194605   
5  HSI  2017        61572793753             2326400968   
6  HSI  2016        62436179500             2575762852   
7  HSI  2015       107440238048             3390407277   
8  HSI  2014       163060499670            30066031629   
9  HSI  2013       263717815367            36165111288   

   Giá trị ròng tài sản đầu tư  Tài sản dài hạn khác  \
0                   4279056500             276898199   
1                   4279056500             271817267   
2                   4279056500             276362107   
3                   4279056500             698657451   
4                   4279056500            1095798280   
5                   4279056500             129108637   
6                   4279056500             144451547   
7                   3000000000             209051543   
8                   3000000000             308130384   
9                            0             667540814   

   LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ  Đầu tư vào công ty liên doanh  \
0                    1255097960                      425000000   
1                    1255097960                      425000000   
2                    1255097960                      425000000   
3                    1255097960                      425000000   
4                    1255097960                      425000000   
5                    1244700742                      425000000   
6                    1485000245                      425000000   
7                    1638724009                      425000000   
8                             0                      425000000   
9                             0                      425000000   

   Tài sản cố định hữu hình  TÀI SẢN NGẮN HẠN (Tỷ đồng)  \
0               43810911391                237921961585   
1               52442645946                249749943664   
2               62038956198                242654622589   
3               73911246360                240636057556   
4               88682462077                219344120640   
5              101900934539                215064569587   
6              106654175441                215397712997   
7              117782278841                253576724117   
8               65728551915                314814222153   
9               79623941109                434590939552   

   Tiền và tương đương tiền (Tỷ đồng)  Các khoản phải thu ngắn hạn (Tỷ đồng)  \
0                          4229964830                           145511687245   
1                          7870292084                           151979304167   
2                          6604236079                           161615214427   
3                         10388817294                           154035580387   
4                          7810677296                           145878891641   
5                         12490772116                           138674602750   
6                          9784833475                           140600937170   
7                          7865743177                           134880335615   
8                          4300029051                           117387661803   
9                          3957346784                           130750666113   

   Trả trước cho người bán ngắn hạn (Tỷ đồng)  Hàng tồn kho, ròng (Tỷ đồng)  \
0                                  3065200646                   86023756292   
1                                  1686249713                   87699301503   
2                                  1618266246                   72000464595   
3                                  1622159246                   71455211378   
4                                  1721425041                   63214357098   
5                                  1659340935                   61572793753   
6                                  1569261646                   62436179500   
7                                   838812437                  107440238048   
8                                   446413228                  163060499670   
9                                   882665550                  263717815367   

   Tài sản lưu động khác (Tỷ đồng)  TÀI SẢN DÀI HẠN (Tỷ đồng)  \
0                                0                57503893284   
1                                0                64088579110   
2                                0                73689434202   
3                                0                85984019708   
4                                0               101152376254   
5                                0               113733105586   
6                                0               130945802639   
7                                0               138171372003   
8                       1445940388               141416474702   
9                       5198980927               147211924111   

   TỔNG CỘNG NGUỒN VỐN (Tỷ đồng)  Lãi chưa phân phối (Tỷ đồng)  \
0                   295425854869                 -154528441429   
1                   313838522774                 -138042108736   
2                   316344056791                 -134053999462   
3                   326620077264                 -131735545459   
4                   320496496894                 -131079215691   
5                   328797675173                 -131817970463   
6                   346343515636                 -141736849316   
7                   391748096120                 -144546121717   
8                   456230696855                 -123133770089   
9                   581802863663                  -77649044218   

   Quỹ đầu tư và phát triển (Tỷ đồng)  Cổ phiếu phổ thông (Tỷ đồng)  \
0                         24628447886                  100000000000   
1                         24628447886                  100000000000   
2                         24628447886                  100000000000   
3                         24628447886                  100000000000   
4                         24628447886                  100000000000   
5                         24628447886                  100000000000   
6                         24628447886                  100000000000   
7                         24628447886                  100000000000   
8                         13828530607                  100000000000   
9                         13828530607                  100000000000   

   Vốn góp của chủ sở hữu (Tỷ đồng)  Vốn và các quỹ (Tỷ đồng)  \
0                      100000000000              -21085120481   
1                      100000000000               -4598787788   
2                      100000000000                -610678514   
3                      100000000000                1707775489   
4                      100000000000                2364105257   
5                      100000000000                1614953267   
6                      100000000000               -8063626083   
7                      100000000000              -10719174720   
8                      100000000000                9054452899   
9                      100000000000               54539178770   

   VỐN CHỦ SỞ HỮU (Tỷ đồng)  Vay và nợ thuê tài chính dài hạn (Tỷ đồng)  \
0              -21085120481                                           0   
1               -4598787788                                           0   
2                -610678514                                           0   
3                1707775489                                           0   
4                2364105257                                206699800000   
5                1614953267                                207262300000   
6               -8063626083                                207712300000   
7              -10719174720                                208162300000   
8                9054452899                                           0   
9               54539178770                                           0   

   Nợ dài hạn (Tỷ đồng)  Người mua trả tiền trước ngắn hạn (Tỷ đồng)  \
0                     0                                   1045498627   
1                     0                                   3173175274   
2                     0                                    425681178   
3                     0                                    309561768   
4          206699800000                                   1302618307   
5          207262300000                                    779785189   
6          207712300000                                    295810683   
7          208162300000                                    692895221   
8                     0                                    543767294   
9                     0                                    613872054   

   Vay và nợ thuê tài chính ngắn hạn (Tỷ đồng)  Nợ ngắn hạn (Tỷ đồng)  \
0                                 245650800000           316510975350   
1                                 247050800000           318437310562   
2                                 250050800000           316954735305   
3                                 252950800000           324912301775   
4                                  52423480000           111432591637   
5                                  62281000000           119920421906   
6                                  78598000000           146694841719   
7                                  93780000000           194304970840   
8                                 328668800000           445040493428   
9                                 396883689894           524483599849   

   NỢ PHẢI TRẢ (Tỷ đồng)  TỔNG CỘNG TÀI SẢN (Tỷ đồng)  \
0           316510975350                 295425854869   
1           318437310562                 313838522774   
2           316954735305                 316344056791   
3           324912301775                 326620077264   
4           318132391637                 320496496894   
5           327182721906                 328797675173   
6           354407141719                 346343515636   
7           402467270840                 391748096120   
8           445040493428                 456230696855   
9           524483599849                 581802863663   

   Trả trước dài hạn (Tỷ đồng)  Tài sản dài hạn khác (Tỷ đồng)  \
0                    276898199                      1771043942   
1                    271817267                      2026252688   
2                    276362107                      2026252688   
3                    698657451                      2026252688   
4                   1095798280                      2026252688   
5                    129108637                      2355199201   
6                    144451547                      4600515000   
7                    209051543                      4600515000   
8                    211259384                      4600515000   
9                    570669814                      4600515000   

   Đầu tư dài hạn (Tỷ đồng)  Tài sản cố định (Tỷ đồng)  \
0                2196043942                43810911391   
1                2451252688                52442645946   
2                2451252688                62038956198   
3                2451252688                73911246360   
4                2451252688                88682462077   
5                2780199201               101900934539   
6                5025515000               106654175441   
7                5025515000               117782278841   
8                5025515000               133082829318   
9                5025515000               141518868297   

   Phải thu dài hạn khác (Tỷ đồng)  Phải thu dài hạn (Tỷ đồng)  
0                       1500939619                  1500939619  
1                        126871000                   126871000  
2                        126871000                   126871000  
3                        126871000                   126871000  
4                        126871000                   126871000  
5                        126871000                   126871000  
6                        126871000                   126871000  
7                        126871000                   126871000  
8                                0                           0  
9                                0                           0  
    CP   Năm  Cổ đông thiểu số  Cổ đông thiểu số  Cổ đông thiểu số  \
0  HSI  2022                 0                 0                 0   
1  HSI  2021                 0                 0                 0   
2  HSI  2020                 0                 0                 0   
3  HSI  2019                 0                 0                 0   
4  HSI  2018                 0           -107645                 0   
5  HSI  2017                 0        -258749463                 0   
6  HSI  2016                 0        -151347270                 0   
7  HSI  2015                 0        -497026519                 0   
8  HSI  2014        2135750528        -644334516        2135750528   
9  HSI  2013        2780085044        -621170309        2780085044   

   Cổ đông thiểu số  Lãi/Lỗ ròng trước thuế  Tăng trưởng doanh thu (%)  \
0                 0            -16424930690                  -0.144531   
1                 0             -3695447088                   0.426474   
2                 0             -2141917450                  -0.099066   
3                 0              -656329768                   0.041750   
4           -107645              1215085868                   0.036475   
5        -258749463                       0                  -0.289664   
6        -151347270                       0                  -0.436671   
7        -497026519                       0                   0.420418   
8        -644334516                       0                  -0.428630   
9        -621170309                       0                   0.000000   

   Doanh thu (Tỷ đồng)  Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng)  \
0         200922547405                                       -16441832690     
1         234868253568                                        -3988109276     
2         164649522350                                        -2318454003     
3         182754314900                                         -656329768     
4         175430108300                                         1215193513     
5         169256504650                                        10161060865     
6         238276766089                                         2812340336     
7         422980091939                                       -21412351628     
8         297785742113                                       -45484725871     
9         521178739694                                       -75875299261     

   Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                  -3.122714          2205288279          2205288279   
1                  -0.720159           139591093           139591093   
2                  -2.532453           297068533           297068533   
3                  -1.540103            78778180            78778180   
4                  -0.880407          1439291441          1439291441   
5                   2.613027          5828043200          5828043200   
6                   1.131342           668299431           668299431   
7                   0.529241          2202707595          2202707595   
8                   0.400533          1196170068          1196170068   
9                   0.000000          1506581528          1506581528   

   Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0                     0                     0     200922547405   
1            -300000000            -300000000     234868253568   
2                     0                     0     164649522350   
3             -39694468             -39694468     182734314900   
4            -186835296            -186835296     175430108300   
5            -220303117            -220303117     169174777150   
6           -1721545635           -1721545635     237780383328   
7          -19852410212          -19852410212     422541823538   
8          -33656250608          -33656250608     296908945734   
9          -50426553628          -50426553628     518600383381   

   Doanh thu thuần      Lãi gộp      Lãi gộp  Chi phí tài chính  \
0     200922547405  -1769001628  -1769001628         -135867180   
1     234868253568  10724012589  10724012589         -742525204   
2     164649522350  13110509885  13110509885         -440626919   
3     182734314900  13896261289  13896261289         -333428714   
4     175430108300  12832899144  12832899144        -1880755010   
5     169174777150  19573934975  19573934975        -2874122013   
6     237780383328  18893390335  18893390335        -3114614532   
7     422541823538  13718035875  13718035875       -19971866433   
8     296908945734   3205835581   3205835581       -34017636819   
9     518600383381  13775674056  13775674056       -51637538099   

   Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0         -135867180        -13908296868        -13908296868   
1         -742525204        -10651863276        -10651863276   
2         -440626919        -10497441630        -10497441630   
3         -333428714        -10064172085        -10064172085   
4        -1880755010         -9581309641         -9581309641   
5        -2874122013         -9441105142         -9441105142   
6        -3114614532        -10199651940        -10199651940   
7       -19971866433        -12518326416        -12518326416   
8       -34017636819        -11044728925        -11044728925   
9       -51637538099        -39328868488        -39328868488   

   Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                    -16393209878                    -16393209878   
1                     -3658050047                     -3658050047   
2                     -1742733270                     -1742733270   
3                       224469752                       224469752   
4                      -343147467                      -343147467   
5                     10049647041                     10049647041   
6                      2838731567                      2838731567   
7                    -21066371703                    -21066371703   
8                    -46364974495                    -46364974495   
9                    -77759616686                    -77759616686   

   Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0              -52622682     -202691549033       -2785332481   
1              -37470033     -224144240979       -3127265249   
2             -399187227     -151539012465       -4212243139   
3            -1789926935     -168838053611       -3352968918   
4             -134902054     -162597209156       -3153273401   
5             -149387095     -149600842175       -3037103979   
6             -720041241     -218886992993       -3408691727   
7             -936658795     -408823787663       -4496922324   
8            -6293217899     -293703110153       -5704614400   
9            -6142245779     -504824709325       -2075465683   

   Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  \
0       -2785332481                            200922547405   
1       -3127265249                            234868253568   
2       -4212243139                            164649522350   
3       -3352968918                            182754314900   
4       -3153273401                            175430108300   
5       -3037103979                            169256504650   
6       -3408691727                            238276766089   
7       -4496922324                            422980091939   
8       -5704614400                            297785742113   
9       -2075465683                            521178739694   

   Các khoản giảm trừ doanh thu  Thu nhập khác  Lợi nhuận khác  LN trước thuế  \
0                             0       20901870       -31720812   -16424930690   
1                             0          72992       -37397041    -3695447088   
2                             0           3047      -399184180    -2141917450   
3                     -20000000      909127415      -880799520     -656329768   
4                             0     1693135389      1558233335     1215085868   
5                     -81727500        2051456      -147335639     9902311402   
6                    -496382761      546696105      -173345136     2665386431   
7                    -438268401       93652351      -843006444   -21909378147   
